# {"t_start": 1652737399.0606856, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.120762
-50.0,50,5.744813
-50.0,50,7.152696
-50.0,50,8.556293
-50.0,50,9.998634
-50.0,50,11.409993
-50.0,50,12.812635
-50.0,50,14.211136
-50.0,50,15.619598
-50.0,50,17.075982
-50.0,50,18.48103
-50.0,50,19.961961
-50.0,50,21.379728
-50.0,50,22.831395
-50.0,50,24.251967
-50.0,50,25.69708
-50.0,50,27.143699
-50.0,50,28.783189
-50.0,50,30.790149
-50.0,50,32.912193
-50.0,50,34.467292
-50.0,50,35.909763
-50.0,50,37.446725
-50.0,50,38.96098
-50.0,50,40.458379
-50.0,50,42.080436
-50.0,50,43.672542
-50.0,50,45.266891
-50.0,50,46.815868
-50.0,50,48.340386
-50.0,50,49.822484
-50.0,50,51.354327
-50.0,50,52.958075
-50.0,50,54.69055
-50.0,50,56.126207
-50.0,50,57.536765
0.0,50,58.973067
-50.0,50,60.388865
-50.0,50,61.820869
-50.0,50,63.216143
-50.0,50,64.692198
-50.0,50,66.332077
-50.0,50,67.872008
-50.0,50,69.433006
-50.0,50,71.020791
-50.0,50,72.645306
-50.0,50,74.109729
-50.0,50,75.568161
-50.0,50,77.164395
-50.0,50,78.76388
-50.0,50,80.561646
-50.0,50,80.972969
-50.0,50,81.374589
-50.0,50,81.780659
-50.0,50,82.175823
-50.0,50,82.513244
-50.0,50,82.872391
-50.0,50,83.295527
-50.0,50,83.806228
-50.0,50,84.107459
-50.0,50,84.542205
-50.0,50,86.966871
-50.0,50,89.454345
-50.0,50,91.026859
-50.0,50,92.606868
-50.0,50,94.044073
-50.0,50,95.472597
-50.0,50,96.99693
-50.0,50,98.629821
-50.0,50,100.227256
-50.0,50,101.952929
-50.0,50,103.452686
-50.0,50,105.062917
-50.0,50,106.483311
-50.0,50,108.085583
0.0,50,109.863616
-50.0,50,111.555034
0.0,50,113.410491
-50.0,50,115.2348
-50.0,50,116.944613
-50.0,50,118.863714
-50.0,50,120.460489
-50.0,50,122.048695
-50.0,50,123.642583
0.0,50,125.199765
-50.0,50,126.842736
-50.0,50,128.45044
-50.0,50,130.033461
-50.0,50,131.504408
-50.0,50,132.921078
-50.0,50,134.614476
-50.0,50,136.14647
-50.0,50,137.707881
-50.0,50,139.411575
-50.0,50,141.560327
-50.0,50,143.568449
-50.0,50,145.312722
-50.0,50,147.056176
-50.0,50,148.74957
-50.0,50,150.363265
-50.0,50,151.982888
-50.0,50,153.491472
-50.0,50,154.997745
-50.0,50,156.545825
-50.0,50,157.997635
-50.0,50,159.473291
-50.0,50,160.905589
-50.0,50,162.370033
-50.0,50,163.803762
-50.0,50,165.223917
-50.0,50,166.65624
-50.0,50,166.953218
-50.0,50,167.253359
-50.0,50,167.560815
-50.0,50,167.871648
-50.0,50,168.188548
-50.0,50,168.494262
-50.0,50,168.808602
-50.0,50,169.112068
-50.0,50,169.421245
-50.0,50,169.824451
-50.0,50,171.299223
-50.0,50,172.735513
-50.0,50,174.170853
-50.0,50,175.596491
-50.0,50,177.104723
-50.0,50,178.781437
-50.0,50,180.269988
-50.0,50,181.709554
-50.0,50,183.222241
-50.0,50,184.743061
-50.0,50,186.186111
-50.0,50,187.61203
-50.0,50,189.080714
-50.0,50,190.529846
-50.0,50,191.965905
-50.0,50,193.440277
-50.0,50,194.894916
-50.0,50,196.349281
-50.0,50,197.799666
-50.0,50,199.248786
-50.0,50,200.704165
-50.0,50,202.157599
-50.0,50,203.587944
-50.0,50,205.046854
0.0,50,206.475744
-50.0,50,208.079794
-50.0,50,209.57452
-50.0,50,211.017568
-50.0,50,212.464746
-50.0,50,213.955917
-50.0,50,215.412687
-50.0,50,216.879506
-50.0,50,218.338431
-50.0,50,219.800592
-50.0,50,221.293292
-50.0,50,222.74439
-50.0,50,224.208946
-50.0,50,225.86347
-50.0,50,227.462944
-50.0,50,228.991395
-50.0,50,230.601678
-50.0,50,232.296984
-50.0,50,234.073187
-50.0,50,235.744334
-50.0,50,237.477376
-50.0,50,239.310528
-50.0,50,241.307734
-50.0,50,243.080508
-50.0,50,244.701277
-50.0,50,246.375455
-50.0,50,246.6871
-50.0,50,247.016405
-50.0,50,247.318564
-50.0,50,247.647487
-50.0,50,247.959964
-50.0,50,248.265644
-50.0,50,248.578057
-50.0,50,248.894479
-50.0,50,249.337765
0.0,50,249.769405
0.0,50,251.52783
-50.0,50,253.218718
-50.0,50,255.004313
-50.0,50,256.500227
-50.0,50,257.992819
-50.0,50,259.495537
-50.0,50,261.003651
-50.0,50,262.507607
-50.0,50,264.03246
-50.0,50,265.532789
-50.0,50,267.046295
0.0,50,268.532638
-50.0,50,270.236058
-50.0,50,271.743905
-50.0,50,273.231887
-50.0,50,274.968074
-50.0,50,277.506688
-50.0,50,279.340835
-50.0,50,281.118335
-50.0,50,283.307088
-50.0,50,285.012975
-50.0,50,286.851349
-50.0,50,288.933272
-50.0,50,290.724996
-50.0,50,292.260664
-50.0,50,293.772518
-50.0,50,295.288827
-50.0,50,296.857114
-50.0,50,298.459909
-50.0,50,300.243912
-50.0,50,301.851319
-50.0,50,303.472587
-50.0,50,305.000637
-50.0,50,306.54853
-50.0,50,308.096435
-50.0,50,309.656198
-50.0,50,311.201032
-50.0,50,312.737266
-50.0,50,314.28936
-50.0,50,315.841107
-50.0,50,317.387876
-50.0,50,318.975622
-50.0,50,320.550463
-50.0,50,322.084565
-50.0,50,323.641186
-50.0,50,325.196077
-50.0,50,326.772617
-50.0,50,328.290987
-50.0,50,330.057496
-50.0,50,331.633175
-50.0,50,331.94779
-50.0,50,332.278168
-50.0,50,332.596818
-50.0,50,332.899988
-18.0,50,333.218112
-50.0,50,333.565311
-50.0,50,333.86883
-50.0,50,334.176862
0.0,50,334.477072
-50.0,50,334.815513
-50.0,50,336.404504
-50.0,50,337.962458
-50.0,50,339.509695
-50.0,50,341.046261
-50.0,50,342.60413
-50.0,50,344.164922
-50.0,50,345.688646
-50.0,50,347.263803
-50.0,50,348.796134
-50.0,50,350.342673
-50.0,50,351.902712
-50.0,50,353.448788
-50.0,50,354.982508
-50.0,50,356.556351
-50.0,50,358.096874
-50.0,50,359.828182
-50.0,50,361.381073
0.0,50,362.951993
-50.0,50,364.522195
-50.0,50,366.094842
-50.0,50,367.628964
-50.0,50,369.221951
-50.0,50,370.7872
-50.0,50,372.32753
0.0,50,373.904668
-50.0,50,375.460655
-50.0,50,377.03162
-50.0,50,378.592378
-50.0,50,380.172952
-50.0,50,381.735903
-50.0,50,383.331567
-50.0,50,384.91106
-50.0,50,386.447658
-50.0,50,388.024535
-50.0,50,389.789639
-50.0,50,391.359766
-50.0,50,392.929574
-50.0,50,394.499539
-50.0,50,396.046111
-50.0,50,397.625906
-50.0,50,399.187819
-50.0,50,400.761146
-50.0,50,402.304056
-50.0,50,403.85035
-50.0,50,405.419159
-50.0,50,406.991085
-50.0,50,408.547682
-50.0,50,410.15742
-50.0,50,411.733597
-50.0,50,413.307142
-50.0,50,413.62046
-50.0,50,413.941355
-50.0,50,414.243456
-50.0,50,414.581439
-50.0,50,414.895846
-50.0,50,415.239997
-50.0,50,415.544465
-50.0,50,415.86724
-50.0,50,416.164399
-50.0,50,416.485782
-50.0,50,418.077382
-50.0,50,419.796947
-50.0,50,421.36902
-50.0,50,422.996395
-50.0,50,424.560603
-50.0,50,426.128071
-50.0,50,427.694309
-50.0,50,429.289899
-50.0,50,430.88729
-50.0,50,432.462493
-50.0,50,434.046449
-50.0,50,435.631916
-50.0,50,437.21665
-2.0,50,438.814769
-50.0,50,440.406199
-50.0,50,441.993303
-50.0,50,443.580574
0.0,50,445.151322
-50.0,50,446.712273
-50.0,50,448.304546
-50.0,50,450.037959
-50.0,50,451.649022
-50.0,50,453.241628
-50.0,50,454.843359
-50.0,50,456.442479
-50.0,50,458.028629
-50.0,50,459.60916
-50.0,50,461.222441
-50.0,50,462.805495
-50.0,50,464.393069
-50.0,50,465.979941
-50.0,50,467.578784
-50.0,50,469.141201
-34.0,50,470.756623
0.0,50,472.343722
-50.0,50,473.935358
-50.0,50,475.539401
-50.0,50,477.154718
-50.0,50,478.948416
-50.0,50,480.538886
0.0,50,482.123956
-50.0,50,483.71827
-50.0,50,485.313023
-50.0,50,486.910699
-50.0,50,488.492701
-50.0,50,490.08561
-50.0,50,491.67891
-1.0,50,493.267752
-50.0,50,494.841743
-50.0,50,496.460551
-50.0,50,496.776268
-50.0,50,497.086677
-50.0,50,497.389662
-50.0,50,497.70334
-50.0,50,498.008578
-50.0,50,498.313895
-50.0,50,498.622473
-50.0,50,498.927537
-50.0,50,499.247647
-50.0,50,499.663882
-50.0,50,501.264168
-50.0,50,502.868653
-50.0,50,504.46712
-50.0,50,506.050046
-50.0,50,507.637139
-50.0,50,509.428821
-50.0,50,511.051391
-50.0,50,512.629983
-50.0,50,514.277347
-50.0,50,515.876585
-50.0,50,517.465436
-50.0,50,519.05925
-50.0,50,520.66177
-50.0,50,522.259777
-50.0,50,523.839464
0.0,50,525.479887
-50.0,50,527.072775
-50.0,50,528.669986
-50.0,50,530.251851
-50.0,50,531.885331
-50.0,50,533.508312
-50.0,50,535.076414
0.0,50,536.664055
-50.0,50,538.254342
-50.0,50,540.082595
-50.0,50,541.66467
-50.0,50,543.279943
-50.0,50,544.863699
-50.0,50,546.442456
-50.0,50,548.022393
-50.0,50,549.657165
-50.0,50,551.257764
-50.0,50,552.866015
-50.0,50,554.448672
-50.0,50,556.040126
-50.0,50,557.675149
-50.0,50,559.296525
-50.0,50,560.91866
-50.0,50,562.505026
0.0,50,564.157789
-50.0,50,565.79021
-50.0,50,567.384763
-50.0,50,569.203318
-50.0,50,570.78556
-50.0,50,572.395816
-50.0,50,574.011562
-50.0,50,575.632907
-50.0,50,577.200731
-50.0,50,578.791953
-50.0,50,580.384381
-50.0,50,580.725151
-50.0,50,581.063905
-50.0,50,581.372196
-50.0,50,581.703553
-50.0,50,582.019044
-50.0,50,582.335433
-50.0,50,582.676623
-50.0,50,583.005275
-50.0,50,583.318806
-50.0,50,583.712597
-50.0,50,585.305748
-50.0,50,586.903608
-50.0,50,588.528419
-50.0,50,590.151999
-50.0,50,591.900182
-50.0,50,593.620844
-50.0,50,595.311282
-50.0,50,597.008872
-50.0,50,598.798369
0.0,50,600.713635
-50.0,50,602.37454
-50.0,50,604.009935
-50.0,50,605.612934
-50.0,50,607.223035
-50.0,50,608.832588
-50.0,50,610.454872
-50.0,50,612.060562
-50.0,50,613.657479
-50.0,50,615.285962
-50.0,50,616.874375
-50.0,50,618.455467
-50.0,50,620.082233
-50.0,50,621.686402
-50.0,50,623.276968
-50.0,50,624.886558
-50.0,50,626.480763
-48.0,50,628.096345
-50.0,50,629.764477
-50.0,50,631.426759
-50.0,50,633.080728
-50.0,50,634.704579
-50.0,50,636.307174
-50.0,50,637.890565
-50.0,50,639.527914
-50.0,50,641.1276
-50.0,50,642.737876
-50.0,50,644.346642
-50.0,50,645.954366
-50.0,50,647.547779
-50.0,50,649.19162
-50.0,50,650.785883
-50.0,50,652.39378
-50.0,50,653.981732
-50.0,50,655.585312
-50.0,50,657.17849
-50.0,50,658.933175
-50.0,50,660.526116
-50.0,50,662.105333
-50.0,50,663.69981
-50.0,50,665.292337
-50.0,50,665.609936
0.0,50,665.912285
-50.0,50,666.249443
-50.0,50,666.631989
-50.0,50,666.947233
-50.0,50,667.274042
-50.0,50,667.617399
-50.0,50,667.953839
-50.0,50,668.31394
-50.0,50,668.628709
-50.0,50,670.204408
-50.0,50,671.801345
-50.0,50,673.400848
-50.0,50,675.0101
-50.0,50,676.599904
-50.0,50,678.200514
-50.0,50,679.798941
-50.0,50,681.391936
-50.0,50,682.994661
-50.0,50,684.583773
-50.0,50,686.180408
-50.0,50,687.796684
-50.0,50,689.581318
-50.0,50,691.166682
-50.0,50,692.772694
-50.0,50,694.392975
-50.0,50,695.98086
-50.0,50,697.56775
-50.0,50,699.20628
-50.0,50,700.794558
-47.0,50,702.449533
-50.0,50,704.058311
-50.0,50,705.689736
-50.0,50,707.302335
-50.0,50,708.933311
-50.0,50,710.527967
-50.0,50,712.15502
-50.0,50,713.768921
-50.0,50,715.371203
-50.0,50,716.963431
-50.0,50,718.625212
-50.0,50,720.367523
-50.0,50,721.948493
-50.0,50,723.568874
-50.0,50,725.202272
-50.0,50,726.811245
-50.0,50,728.446261
-50.0,50,730.05297
-50.0,50,731.641346
0.0,50,733.255693
-50.0,50,734.874362
0.0,50,736.479809
-50.0,50,738.072402
-50.0,50,739.672115
-50.0,50,741.270037
-50.0,50,742.863993
-50.0,50,744.457809
0.0,50,746.055993
-50.0,50,747.707618
0.0,50,749.39575
-50.0,50,749.727101
-50.0,50,750.0713
-50.0,50,750.413915
-50.0,50,750.725187
-50.0,50,751.038657
-50.0,50,751.37116
-50.0,50,751.726644
-50.0,50,752.025943
-50.0,50,752.335263
-50.0,50,752.696809
-50.0,50,754.286406
-50.0,50,755.903257
-50.0,50,757.493959
-50.0,50,759.118734
-50.0,50,760.716184
-50.0,50,762.327742
-50.0,50,763.944077
-50.0,50,765.548549
-50.0,50,767.1336
-50.0,50,768.717077
-50.0,50,770.316095
-50.0,50,771.921798
-50.0,50,773.527826
-50.0,50,775.13281
-50.0,50,776.730614
-50.0,50,778.343044
-50.0,50,780.060304
-50.0,50,781.698314
-50.0,50,783.330372
-50.0,50,784.96637
-50.0,50,786.56748
-50.0,50,788.193101
-50.0,50,789.80424
-50.0,50,791.39209
-50.0,50,792.991518
-50.0,50,794.589815
-50.0,50,796.189063
-50.0,50,797.809092
-50.0,50,799.432411
-50.0,50,801.015839
-50.0,50,802.637678
-50.0,50,804.238816
-50.0,50,805.970241
-26.0,50,807.604399
-50.0,50,809.38396
-50.0,50,811.510402
-50.0,50,813.69601
-50.0,50,815.708683
-50.0,50,817.518763
-50.0,50,819.254385
-50.0,50,821.064903
-50.0,50,822.97164
-50.0,50,825.259042
-50.0,50,827.331434
-50.0,50,829.469391
-50.0,50,831.412736
-50.0,50,833.548236
0.0,50,835.539479
-50.0,50,837.509781
-50.0,50,839.489455
-50.0,50,839.82522
-50.0,50,840.299011
-50.0,50,840.762645
-50.0,50,841.167202
-50.0,50,841.505043
-50.0,50,841.821844
-50.0,50,842.293996
-50.0,50,842.633954
-50.0,50,842.98105
0.0,50,843.38884
-50.0,50,845.301392
-50.0,50,847.059366
-50.0,50,848.957442
-50.0,50,850.778835
-50.0,50,853.392368
-50.0,50,855.287595
0.0,50,857.145747
-50.0,50,859.315945
-50.0,50,861.407635
-50.0,50,863.220979
-50.0,50,864.961879
-50.0,50,866.720846
-50.0,50,868.523027
-50.0,50,870.827909
-50.0,50,872.788938
-50.0,50,874.623993
-50.0,50,876.781011
-50.0,50,878.710444
-50.0,50,880.781321
-50.0,50,883.060795
-50.0,50,884.985832
-50.0,50,886.719693
-50.0,50,888.569783
-50.0,50,890.558474
-50.0,50,893.038523
-50.0,50,894.948055
-50.0,50,896.911211
-50.0,50,899.250483
-50.0,50,901.220133
-50.0,50,902.81162
-50.0,50,904.450407
-50.0,50,906.049201
-50.0,50,907.913937
-50.0,50,909.601499
-50.0,50,911.213256
-50.0,50,912.826095
-50.0,50,914.429335
-50.0,50,916.026095
-50.0,50,917.62284
-50.0,50,919.225611
-50.0,50,920.842593
-50.0,50,922.428728
-50.0,50,924.09119
-50.0,50,925.701344
-50.0,50,927.323062
-50.0,50,929.080457
-50.0,50,930.687685
-50.0,50,932.307517
-50.0,50,933.929193
-50.0,50,935.571292
-50.0,50,935.881049
-50.0,50,936.201754
-50.0,50,936.504203
-50.0,50,936.806836
-50.0,50,937.12173
-50.0,50,937.424933
-50.0,50,937.759836
-50.0,50,938.084527
-50.0,50,938.416011
-50.0,50,938.776954
-6.0,50,940.369113
