# {"t_start": 1652785593.9837594, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,5.029358
-50.0,50,6.717518
-50.0,50,8.353055
-50.0,50,10.190447
-50.0,50,11.957651
-50.0,50,13.621475
-50.0,50,15.337762
-50.0,50,17.190292
-50.0,50,18.871758
-50.0,50,20.382807
-50.0,50,21.947479
-50.0,50,24.493933
-50.0,50,26.891499
-50.0,50,29.397197
-50.0,50,31.765801
-50.0,50,33.454894
-50.0,50,35.268534
-50.0,50,36.900519
-50.0,50,39.163531
-50.0,50,41.870815
-50.0,50,44.223362
-50.0,50,45.851424
-50.0,50,47.597624
-50.0,50,49.160707
-50.0,50,50.840224
-50.0,50,52.555535
-50.0,50,54.928861
-50.0,50,56.671735
-50.0,50,58.247345
-50.0,50,59.796828
-50.0,50,61.409208
-50.0,50,63.066372
-50.0,50,64.874577
-50.0,50,66.561638
-50.0,50,68.350097
-50.0,50,70.270125
-50.0,50,72.386663
-50.0,50,74.223407
-50.0,50,75.861709
-50.0,50,77.902163
-50.0,50,79.850069
-50.0,50,81.383611
-50.0,50,82.837933
-50.0,50,84.310531
-50.0,50,85.76391
0.0,50,87.228172
0.0,50,88.817148
-50.0,50,90.439079
-50.0,50,91.891064
-50.0,50,93.361783
-50.0,50,94.854496
-50.0,50,95.198223
-50.0,50,95.559112
-50.0,50,96.08345
-50.0,50,96.517247
-50.0,50,96.865049
-50.0,50,97.281062
-50.0,50,97.720513
-50.0,50,98.066379
-50.0,50,98.401968
-50.0,50,98.936148
-50.0,50,100.407219
0.0,50,101.934572
-50.0,50,103.913423
-50.0,50,106.125859
-50.0,50,107.809557
-50.0,50,109.950383
0.0,50,111.530322
-50.0,50,113.075383
-50.0,50,115.141088
-50.0,50,117.691113
-50.0,50,119.574121
-50.0,50,121.277169
0.0,50,123.313909
-50.0,50,125.795336
-50.0,50,128.447397
-50.0,50,130.471048
-50.0,50,132.163374
-50.0,50,133.871982
-50.0,50,136.376213
-50.0,50,138.32509
-50.0,50,140.178784
-50.0,50,141.955649
-50.0,50,143.891661
-50.0,50,145.395025
-50.0,50,147.257778
-50.0,50,149.022751
-50.0,50,150.989733
-50.0,50,152.85531
-50.0,50,154.875651
-50.0,50,156.80467
-13.0,50,158.857432
-50.0,50,160.803659
-50.0,50,162.690529
-50.0,50,164.206387
-50.0,50,165.694923
-50.0,50,167.200877
-50.0,50,168.697439
-50.0,50,170.193576
-50.0,50,171.682388
-50.0,50,173.218235
-50.0,50,174.747575
-50.0,50,176.577807
-50.0,50,178.641582
-50.0,50,181.097732
-50.0,50,182.916023
-50.0,50,184.640568
-50.0,50,186.557025
-50.0,50,188.416142
-50.0,50,189.952803
-50.0,50,191.623413
-50.0,50,192.01824
-50.0,50,192.656852
0.0,50,193.038387
-50.0,50,193.446672
-50.0,50,193.83671
0.0,50,194.272341
-50.0,50,194.630646
-50.0,50,194.982562
-50.0,50,195.316309
-50.0,50,195.65607
-50.0,50,197.398463
-50.0,50,199.070702
-50.0,50,200.800583
-50.0,50,202.41039
-50.0,50,203.932059
-50.0,50,205.722038
-50.0,50,207.367013
-50.0,50,209.003853
-50.0,50,210.871589
-50.0,50,212.563404
-50.0,50,214.10819
-50.0,50,215.866157
-50.0,50,217.454875
-50.0,50,219.47854
-50.0,50,221.94883
-50.0,50,223.84481
-50.0,50,225.402041
-50.0,50,226.95398
-50.0,50,228.544551
-50.0,50,230.089728
-50.0,50,231.66437
-50.0,50,233.223992
0.0,50,234.809928
-50.0,50,236.368367
-50.0,50,237.931823
-50.0,50,239.488899
-50.0,50,241.028119
-50.0,50,242.619539
-50.0,50,244.184883
-50.0,50,245.748583
-50.0,50,247.31626
-13.0,50,249.101844
0.0,50,250.661211
-50.0,50,252.231427
-50.0,50,253.824721
-50.0,50,255.388117
-50.0,50,256.950539
-50.0,50,258.521756
-50.0,50,260.122252
-50.0,50,261.680004
-50.0,50,263.249815
0.0,50,264.828346
-50.0,50,266.448827
-50.0,50,268.023189
-50.0,50,269.612298
-50.0,50,271.172943
