# {"t_start": 1652946497.5262992, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,1.644136
-50.0,50,3.051221
-50.0,50,4.270234
-50.0,50,5.556186
-50.0,50,6.831233
-50.0,50,8.042517
-50.0,50,9.276237
-50.0,50,10.454302
-50.0,50,11.709512
-50.0,50,12.964004
-50.0,50,14.206382
-50.0,50,15.383508
-50.0,50,16.676026
-50.0,50,17.952142
-50.0,50,19.201026
-50.0,50,20.486703
-50.0,50,21.76743
-50.0,50,23.032962
-50.0,50,24.281698
-25.0,50,25.502857
-50.0,50,26.779244
-50.0,50,28.043357
-50.0,50,29.285213
-50.0,50,30.523038
-50.0,50,31.820639
-50.0,50,33.126107
-50.0,50,34.392365
-50.0,50,35.640358
-50.0,50,36.902948
0.0,50,38.123461
-50.0,50,39.420815
-50.0,50,40.685068
-50.0,50,41.963243
-50.0,50,43.23687
-50.0,50,44.498788
-50.0,50,45.798631
-50.0,50,47.077373
-50.0,50,48.409917
-50.0,50,49.774816
-50.0,50,51.348217
0.0,50,52.730763
-50.0,50,54.080748
-50.0,50,55.459636
-1.0,50,56.827919
-50.0,50,58.162992
-50.0,50,59.83216
-50.0,50,61.293108
-50.0,50,62.591316
-50.0,50,63.879145
-50.0,50,65.516526
-50.0,50,67.288401
-50.0,50,67.655064
-50.0,50,67.927677
-50.0,50,68.095262
-50.0,50,68.261785
-50.0,50,68.430462
-50.0,50,68.595981
-50.0,50,68.771721
-50.0,50,69.002513
-50.0,50,69.240035
-50.0,50,69.486164
-50.0,50,70.819493
-50.0,50,72.229784
-50.0,50,73.603341
-50.0,50,75.03517
-50.0,50,76.512635
-50.0,50,78.00101
-50.0,50,79.428398
-50.0,50,80.880989
-14.0,50,82.157449
-50.0,50,83.547329
-50.0,50,85.06181
-50.0,50,86.396033
-50.0,50,87.73771
-50.0,50,89.129003
-50.0,50,90.537709
-50.0,50,91.79809
-50.0,50,93.198504
-50.0,50,94.54632
-50.0,50,95.980589
-50.0,50,97.477528
-50.0,50,98.901991
-50.0,50,100.304928
-50.0,50,101.714463
-50.0,50,103.250481
0.0,50,104.603957
-50.0,50,105.902256
-50.0,50,107.184014
-50.0,50,108.643437
-50.0,50,109.987578
-50.0,50,111.276213
-50.0,50,112.55066
-50.0,50,113.833333
-50.0,50,115.106114
-50.0,50,116.4197
-50.0,50,117.979985
0.0,50,119.333886
-50.0,50,120.776796
-50.0,50,122.025654
-50.0,50,123.415123
-50.0,50,124.942716
-50.0,50,126.587756
-50.0,50,128.162141
-50.0,50,129.663152
-50.0,50,131.080864
-50.0,50,132.477193
0.0,50,133.94351
-50.0,50,135.366587
-50.0,50,136.776157
-50.0,50,138.044259
0.0,50,139.348781
-50.0,50,139.510821
-50.0,50,139.680911
-50.0,50,139.849577
-50.0,50,140.035469
-50.0,50,140.201364
0.0,50,140.371685
-50.0,50,140.54076
-50.0,50,140.702875
-50.0,50,140.883123
-50.0,50,141.061193
-50.0,50,142.523264
-50.0,50,144.00024
-50.0,50,145.419723
