# {"t_start": 1652775713.7879922, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,2.79958
-50.0,50,4.83305
-50.0,50,6.147592
-50.0,50,7.450514
-50.0,50,8.725893
-50.0,50,9.968124
-36.0,50,11.283237
-9.0,50,12.498372
-48.0,50,13.853571
-31.0,50,15.204353
-2.0,50,16.628662
-4.0,50,16.81332
-50.0,50,17.090548
-41.0,50,17.330333
-50.0,50,17.623309
-4.0,50,17.866274
-16.0,50,18.079801
-6.0,50,18.307667
-2.0,50,18.533043
-5.0,50,18.820204
-12.0,50,19.251276
-5.0,50,20.546601
-2.0,50,21.735933
-20.0,50,22.976398
-12.0,50,24.108958
-7.0,50,25.369318
-7.0,50,26.589136
-16.0,50,27.765188
-20.0,50,28.969819
-20.0,50,30.271303
0.0,50,31.527808
-34.0,50,31.673306
-1.0,50,31.816995
-50.0,50,31.954704
0.0,50,32.098852
-9.0,50,32.262323
-12.0,50,32.41938
-50.0,50,32.614653
-46.0,50,32.766284
-44.0,50,32.929554
-15.0,50,33.084279
-50.0,50,34.437196
-5.0,50,35.904518
-23.0,50,37.601259
-4.0,50,39.084234
-50.0,50,40.346661
-32.0,50,41.577732
-4.0,50,42.846239
-50.0,50,44.126511
-9.0,50,45.356442
-16.0,50,46.546539
-2.0,50,46.712502
-50.0,50,46.85454
-2.0,50,46.995944
0.0,50,47.138924
-8.0,50,47.291747
-3.0,50,47.429791
-40.0,50,47.582101
-50.0,50,47.722422
-6.0,50,47.862506
-8.0,50,47.999855
-8.0,50,49.18847
-50.0,50,50.363451
-9.0,50,51.595929
-8.0,50,52.876345
-28.0,50,54.098088
-6.0,50,55.294044
-9.0,50,56.501238
-2.0,50,57.711977
-15.0,50,58.91039
-4.0,50,60.185642
-3.0,50,60.34955
-11.0,50,60.498595
0.0,50,60.642733
-2.0,50,60.787789
0.0,50,60.926791
-2.0,50,61.077113
-6.0,50,61.235883
-2.0,50,61.38923
-4.0,50,61.542314
-4.0,50,61.678596
-12.0,50,62.924696
-20.0,50,64.131998
-13.0,50,65.334804
-15.0,50,66.569343
-16.0,50,67.847697
-8.0,50,69.104716
-12.0,50,70.309134
-14.0,50,71.575036
-2.0,50,72.80458
-2.0,50,74.028262
-3.0,50,74.167516
-2.0,50,74.330063
-29.0,50,74.475726
-3.0,50,74.619701
-2.0,50,74.766996
-2.0,50,74.909502
-2.0,50,75.048194
0.0,50,75.201317
-1.0,50,75.344378
-2.0,50,75.48589
-11.0,50,76.648226
-10.0,50,77.88174
-6.0,50,79.126055
-8.0,50,80.400914
-9.0,50,81.646139
-9.0,50,82.858534
-5.0,50,84.085774
-19.0,50,85.293884
-17.0,50,86.529456
-2.0,50,87.776091
-1.0,50,87.918445
-1.0,50,88.07558
-4.0,50,88.220318
-4.0,50,88.377531
-2.0,50,88.513648
-2.0,50,88.650592
-4.0,50,88.805171
-3.0,50,88.960091
0.0,50,89.093974
-15.0,50,89.235081
-7.0,50,90.455678
-23.0,50,91.685225
