# {"t_start": 1652815070.6562545, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,4.298494
-50.0,50,6.001311
-50.0,50,7.524731
-50.0,50,9.155152
-50.0,50,11.28258
-50.0,50,13.643105
-50.0,50,15.318141
-50.0,50,16.986439
-50.0,50,18.578692
-50.0,50,20.33562
-50.0,50,22.705718
-50.0,50,24.848433
-50.0,50,26.52666
-50.0,50,29.403608
-50.0,50,31.814369
-50.0,50,33.552519
-50.0,50,35.208731
-50.0,50,36.716227
-50.0,50,38.397626
-50.0,50,40.166746
-50.0,50,41.787707
-50.0,50,43.55132
-50.0,50,45.324676
-50.0,50,46.867175
-50.0,50,48.512147
-50.0,50,50.219235
-50.0,50,52.16384
-50.0,50,53.937131
-50.0,50,55.593821
-50.0,50,57.156142
-50.0,50,58.909819
-50.0,50,60.490589
-50.0,50,62.089755
-50.0,50,63.787967
-50.0,50,65.32308
-50.0,50,66.81599
-50.0,50,68.569548
-50.0,50,70.1822
-50.0,50,71.841271
-50.0,50,73.388412
-50.0,50,74.892379
-50.0,50,76.376481
-50.0,50,77.826738
-50.0,50,79.36048
-50.0,50,81.081412
-50.0,50,82.692433
-50.0,50,84.300099
-50.0,50,86.016208
-50.0,50,87.661559
-50.0,50,89.388125
-50.0,50,91.21309
-50.0,50,91.570522
-50.0,50,91.922741
-50.0,50,92.272466
-50.0,50,92.634777
-50.0,50,92.97568
-50.0,50,93.325884
-50.0,50,93.669719
-50.0,50,94.015864
-50.0,50,94.356545
-50.0,50,94.96687
-50.0,50,96.411671
-50.0,50,97.860898
-50.0,50,99.34681
-50.0,50,100.796648
-50.0,50,102.25229
-50.0,50,103.695876
-50.0,50,105.135797
-50.0,50,106.598604
-50.0,50,108.111218
-50.0,50,109.76103
-50.0,50,111.660305
-50.0,50,113.241554
-50.0,50,114.89935
-50.0,50,116.485528
-50.0,50,118.05999
-50.0,50,119.832217
-50.0,50,121.528277
-50.0,50,123.22452
-50.0,50,124.924824
-50.0,50,126.711615
-50.0,50,128.351853
-50.0,50,129.924481
-50.0,50,131.658914
-50.0,50,133.71985
-50.0,50,136.1616
-50.0,50,137.696348
-50.0,50,139.264534
-50.0,50,140.87675
-50.0,50,142.600958
-50.0,50,144.143812
-50.0,50,145.779584
-50.0,50,147.330481
-50.0,50,149.06202
-50.0,50,150.699136
-50.0,50,152.379555
-50.0,50,153.840589
-50.0,50,155.339887
-50.0,50,157.058484
-50.0,50,158.588974
-50.0,50,160.081041
-50.0,50,161.562617
-50.0,50,163.027278
-50.0,50,164.507957
-50.0,50,165.964803
-50.0,50,167.437421
0.0,50,168.94748
-50.0,50,170.424083
-50.0,50,171.919933
-50.0,50,173.407625
-50.0,50,174.890813
-50.0,50,175.239282
-50.0,50,175.576356
-50.0,50,175.918324
-50.0,50,176.256009
-50.0,50,176.591727
-50.0,50,176.931039
-50.0,50,177.284193
-50.0,50,177.623477
-50.0,50,177.963703
-50.0,50,178.344038
-50.0,50,179.949016
-50.0,50,181.428579
-50.0,50,182.900456
-50.0,50,184.412098
-50.0,50,185.91148
-50.0,50,187.429583
-50.0,50,188.92719
-50.0,50,190.456143
-50.0,50,191.963871
-50.0,50,193.460332
-50.0,50,194.982616
-50.0,50,196.507407
-50.0,50,198.02035
-50.0,50,199.55846
-50.0,50,201.066818
-50.0,50,202.564012
-50.0,50,204.063832
-50.0,50,205.56396
-50.0,50,207.075037
-41.0,50,208.584709
-50.0,50,210.281429
-50.0,50,211.768299
-50.0,50,213.284756
-50.0,50,214.78775
-50.0,50,216.301619
-50.0,50,217.810865
-50.0,50,219.360435
-50.0,50,220.888404
-50.0,50,222.442716
-50.0,50,223.971878
-50.0,50,225.488334
-50.0,50,227.019574
-50.0,50,228.555467
-50.0,50,230.109234
-50.0,50,231.656045
-50.0,50,233.219096
-50.0,50,234.76036
-50.0,50,236.302181
-50.0,50,237.842949
-50.0,50,239.505655
-50.0,50,241.07518
-50.0,50,242.635553
-50.0,50,244.197274
-50.0,50,245.757233
-50.0,50,247.315284
-50.0,50,248.866022
-50.0,50,250.42819
-50.0,50,251.984316
-50.0,50,253.540136
-50.0,50,255.120134
0.0,50,255.482734
-50.0,50,255.82282
-50.0,50,256.180247
-50.0,50,256.513496
-50.0,50,256.855668
-50.0,50,257.22195
-50.0,50,257.563529
-50.0,50,257.912421
-43.0,50,258.260064
-25.0,50,258.607934
-50.0,50,260.18986
-50.0,50,261.722766
-50.0,50,263.262396
-50.0,50,264.864263
-50.0,50,266.532299
-50.0,50,268.229536
-50.0,50,270.167971
-50.0,50,271.808632
-50.0,50,273.404471
-50.0,50,275.304884
-50.0,50,277.602175
-50.0,50,280.151961
-50.0,50,282.510612
-50.0,50,284.577366
-50.0,50,286.631826
-50.0,50,288.516856
-50.0,50,290.441216
-50.0,50,292.622126
-47.0,50,294.336887
-50.0,50,296.173978
-50.0,50,298.16323
-50.0,50,300.091869
-50.0,50,301.776556
-50.0,50,303.395118
-50.0,50,305.010861
-50.0,50,306.640477
-50.0,50,308.231597
-50.0,50,309.827339
-50.0,50,311.47476
-50.0,50,313.187506
-50.0,50,314.948776
-50.0,50,316.552918
-50.0,50,318.141845
-50.0,50,319.739879
-50.0,50,321.3617
-50.0,50,322.96295
-50.0,50,324.584486
-50.0,50,326.186641
-50.0,50,327.806457
-50.0,50,329.551667
-50.0,50,331.164583
-50.0,50,332.764807
-50.0,50,334.422783
-50.0,50,336.0245
-50.0,50,337.666567
-50.0,50,339.272431
-50.0,50,340.911157
-50.0,50,342.551965
-50.0,50,344.154716
-50.0,50,345.823408
-50.0,50,346.172485
-50.0,50,346.521104
-50.0,50,346.871222
-50.0,50,347.258267
-50.0,50,347.627699
-50.0,50,347.971095
-50.0,50,348.315278
-50.0,50,348.700183
-50.0,50,349.050025
-50.0,50,349.394799
-50.0,50,351.004387
-50.0,50,352.59864
-50.0,50,354.256836
-50.0,50,355.946373
-50.0,50,357.589723
-50.0,50,359.371833
-50.0,50,361.051855
-50.0,50,362.684284
-50.0,50,364.315647
-50.0,50,365.947301
-50.0,50,367.580537
