,Epoch,TestEpRew,TestSuccessRate
0,1,-45.0,0.1
1,2,-50.0,0.0
2,3,-50.0,0.0
3,4,-45.0,0.1
4,5,-50.0,0.0
5,6,-50.0,0.0
6,7,-45.0,0.1
7,8,-45.0,0.1
8,9,-45.0,0.1
9,10,-50.0,0.0
10,11,-50.0,0.0
11,12,-50.0,0.0
12,13,-50.0,0.0
13,14,-50.0,0.0
14,15,-45.0,0.1
15,16,-50.0,0.0
16,17,-50.0,0.0
17,18,-50.0,0.0
18,19,-45.0,0.1
19,20,-50.0,0.0
20,21,-45.0,0.1
21,22,-50.0,0.0
22,23,-50.0,0.0
23,24,-50.0,0.0
24,25,-50.0,0.0
25,26,-40.0,0.2
26,27,-50.0,0.0
27,28,-50.0,0.0
28,29,-45.0,0.1
29,30,-50.0,0.0
30,31,-50.0,0.0
31,32,-45.0,0.1
32,33,-50.0,0.0
33,34,-50.0,0.0
34,35,-50.0,0.0
35,36,-50.0,0.0
36,37,-45.0,0.1
37,38,-50.0,0.0
38,39,-45.0,0.1
39,40,-45.0,0.1
40,41,-50.0,0.0
41,42,-50.0,0.0
42,43,-45.0,0.1
43,44,-50.0,0.0
44,45,-50.0,0.0
45,46,-50.0,0.0
46,47,-50.0,0.0
47,48,-50.0,0.0
48,49,-50.0,0.0
49,50,-50.0,0.0
50,51,-50.0,0.0
51,52,-45.0,0.1
52,53,-50.0,0.0
53,54,-50.0,0.0
54,55,-50.0,0.0
55,56,-50.0,0.0
56,57,-50.0,0.0
57,58,-45.0,0.1
58,59,-45.0,0.1
59,60,-40.0,0.2
60,61,-50.0,0.0
61,62,-50.0,0.0
62,63,-50.0,0.0
63,64,-45.0,0.1
64,65,-45.0,0.1
65,66,-50.0,0.0
66,67,-45.0,0.1
67,68,-50.0,0.0
68,69,-50.0,0.0
69,70,-50.0,0.0
70,71,-50.0,0.0
71,72,-50.0,0.0
72,73,-45.0,0.1
73,74,-50.0,0.0
74,75,-50.0,0.0
75,76,-50.0,0.0
76,77,-50.0,0.0
77,78,-50.0,0.0
78,79,-50.0,0.0
79,80,-45.0,0.1
80,81,-50.0,0.0
81,82,-45.0,0.1
82,83,-40.0,0.2
83,84,-50.0,0.0
84,85,-45.0,0.1
85,86,-50.0,0.0
86,87,-50.0,0.0
87,88,-50.0,0.0
88,89,-50.0,0.0
89,90,-40.0,0.2
90,91,-50.0,0.0
91,92,-50.0,0.0
92,93,-50.0,0.0
93,94,-40.0,0.2
94,95,-50.0,0.0
95,96,-50.0,0.0
96,97,-45.0,0.1
97,98,-50.0,0.0
98,99,-50.0,0.0
99,100,-50.0,0.0
100,101,-45.0,0.1
101,102,-50.0,0.0
102,103,-50.0,0.0
103,104,-50.0,0.0
104,105,-50.0,0.0
105,106,-50.0,0.0
106,107,-50.0,0.0
107,108,-50.0,0.0
108,109,-45.0,0.1
109,110,-40.0,0.2
110,111,-50.0,0.0
111,112,-50.0,0.0
112,113,-50.0,0.0
113,114,-50.0,0.0
114,115,-50.0,0.0
115,116,-50.0,0.0
116,117,-40.0,0.2
117,118,-50.0,0.0
118,119,-45.0,0.1
119,120,-50.0,0.0
120,121,-50.0,0.0
121,122,-50.0,0.0
122,123,-45.0,0.1
123,124,-50.0,0.0
124,125,-40.0,0.2
125,126,-50.0,0.0
126,127,-50.0,0.0
127,128,-45.0,0.1
128,129,-50.0,0.0
129,130,-50.0,0.0
130,131,-50.0,0.0
131,132,-40.0,0.2
132,133,-50.0,0.0
133,134,-50.0,0.0
134,135,-50.0,0.0
135,136,-45.0,0.1
136,137,-45.0,0.1
137,138,-50.0,0.0
138,139,-50.0,0.0
139,140,-50.0,0.0
140,141,-50.0,0.0
141,142,-50.0,0.0
142,143,-45.0,0.1
143,144,-45.0,0.1
144,145,-50.0,0.0
145,146,-50.0,0.0
146,147,-50.0,0.0
147,148,-45.0,0.1
148,149,-50.0,0.0
149,150,-50.0,0.0
150,151,-50.0,0.0
151,152,-50.0,0.0
152,153,-45.0,0.1
153,154,-45.0,0.1
154,155,-50.0,0.0
155,156,-50.0,0.0
156,157,-50.0,0.0
157,158,-45.0,0.1
158,159,-40.0,0.2
159,160,-50.0,0.0
160,161,-50.0,0.0
161,162,-50.0,0.0
162,163,-50.0,0.0
163,164,-50.0,0.0
164,165,-50.0,0.0
165,166,-45.0,0.1
166,167,-50.0,0.0
167,168,-50.0,0.0
168,169,-50.0,0.0
169,170,-45.0,0.1
170,171,-45.0,0.1
171,172,-50.0,0.0
172,173,-40.0,0.2
173,174,-50.0,0.0
174,175,-50.0,0.0
175,176,-50.0,0.0
176,177,-50.0,0.0
177,178,-50.0,0.0
178,179,-50.0,0.0
179,180,-50.0,0.0
180,181,-50.0,0.0
181,182,-40.0,0.2
182,183,-45.0,0.1
183,184,-50.0,0.0
184,185,-50.0,0.0
185,186,-50.0,0.0
186,187,-50.0,0.0
187,188,-50.0,0.0
188,189,-50.0,0.0
189,190,-50.0,0.0
190,191,-50.0,0.0
191,192,-50.0,0.0
192,193,-50.0,0.0
193,194,-50.0,0.0
194,195,-45.0,0.1
195,196,-50.0,0.0
196,197,-50.0,0.0
197,198,-50.0,0.0
198,199,-50.0,0.0
199,200,-50.0,0.0
200,201,-50.0,0.0
201,202,-45.0,0.1
202,203,-50.0,0.0
203,204,-45.0,0.1
204,205,-50.0,0.0
205,206,-50.0,0.0
206,207,-50.0,0.0
207,208,-50.0,0.0
208,209,-50.0,0.0
209,210,-50.0,0.0
210,211,-45.0,0.1
211,212,-50.0,0.0
212,213,-50.0,0.0
213,214,-45.0,0.1
214,215,-50.0,0.0
215,216,-50.0,0.0
216,217,-45.0,0.1
217,218,-50.0,0.0
218,219,-50.0,0.0
219,220,-50.0,0.0
220,221,-50.0,0.0
221,222,-40.0,0.2
222,223,-45.0,0.1
223,224,-50.0,0.0
224,225,-50.0,0.0
225,226,-50.0,0.0
226,227,-50.0,0.0
227,228,-45.0,0.1
228,229,-50.0,0.0
229,230,-50.0,0.0
230,231,-45.0,0.1
231,232,-45.0,0.1
232,233,-45.0,0.1
233,234,-45.0,0.1
234,235,-50.0,0.0
235,236,-45.0,0.1
236,237,-50.0,0.0
237,238,-50.0,0.0
238,239,-50.0,0.0
239,240,-50.0,0.0
240,241,-50.0,0.0
241,242,-50.0,0.0
242,243,-50.0,0.0
243,244,-50.0,0.0
244,245,-50.0,0.0
245,246,-50.0,0.0
246,247,-50.0,0.0
247,248,-50.0,0.0
248,249,-50.0,0.0
249,250,-45.0,0.1
250,251,-45.0,0.1
251,252,-50.0,0.0
252,253,-50.0,0.0
253,254,-50.0,0.0
254,255,-50.0,0.0
255,256,-50.0,0.0
256,257,-50.0,0.0
257,258,-50.0,0.0
258,259,-45.0,0.1
259,260,-50.0,0.0
260,261,-50.0,0.0
261,262,-50.0,0.0
262,263,-50.0,0.0
263,264,-45.0,0.1
264,265,-45.0,0.1
265,266,-45.0,0.1
266,267,-50.0,0.0
267,268,-40.0,0.2
268,269,-50.0,0.0
269,270,-50.0,0.0
270,271,-50.0,0.0
271,272,-50.0,0.0
272,273,-50.0,0.0
273,274,-50.0,0.0
274,275,-45.0,0.1
275,276,-40.0,0.2
276,277,-50.0,0.0
277,278,-45.0,0.1
278,279,-50.0,0.0
279,280,-50.0,0.0
280,281,-50.0,0.0
281,282,-50.0,0.0
282,283,-50.0,0.0
283,284,-50.0,0.0
284,285,-45.0,0.1
285,286,-45.0,0.1
286,287,-50.0,0.0
287,288,-50.0,0.0
288,289,-45.0,0.1
289,290,-50.0,0.0
290,291,-50.0,0.0
291,292,-50.0,0.0
292,293,-50.0,0.0
293,294,-50.0,0.0
294,295,-50.0,0.0
295,296,-50.0,0.0
296,297,-50.0,0.0
297,298,-50.0,0.0
298,299,-50.0,0.0
299,300,-40.0,0.2
300,301,-50.0,0.0
301,302,-40.0,0.2
302,303,-45.0,0.1
303,304,-45.0,0.1
304,305,-40.0,0.2
305,306,-50.0,0.0
306,307,-45.0,0.1
307,308,-50.0,0.0
308,309,-50.0,0.0
309,310,-50.0,0.0
310,311,-50.0,0.0
311,312,-50.0,0.0
312,313,-45.0,0.1
313,314,-45.0,0.1
314,315,-50.0,0.0
315,316,-50.0,0.0
316,317,-50.0,0.0
317,318,-50.0,0.0
318,319,-50.0,0.0
319,320,-50.0,0.0
320,321,-50.0,0.0
321,322,-50.0,0.0
322,323,-35.0,0.3
323,324,-50.0,0.0
324,325,-40.0,0.2
325,326,-50.0,0.0
326,327,-50.0,0.0
327,328,-50.0,0.0
328,329,-50.0,0.0
329,330,-45.0,0.1
330,331,-50.0,0.0
331,332,-40.0,0.2
332,333,-45.0,0.1
333,334,-40.0,0.2
334,335,-40.0,0.2
335,336,-50.0,0.0
336,337,-45.0,0.1
337,338,-50.0,0.0
338,339,-50.0,0.0
339,340,-50.0,0.0
340,341,-50.0,0.0
341,342,-50.0,0.0
342,343,-45.0,0.1
343,344,-50.0,0.0
344,345,-50.0,0.0
345,346,-50.0,0.0
346,347,-50.0,0.0
347,348,-50.0,0.0
348,349,-50.0,0.0
349,350,-50.0,0.0
350,351,-50.0,0.0
351,352,-50.0,0.0
352,353,-50.0,0.0
353,354,-50.0,0.0
354,355,-50.0,0.0
355,356,-50.0,0.0
356,357,-50.0,0.0
357,358,-50.0,0.0
358,359,-50.0,0.0
359,360,-50.0,0.0
360,361,-45.0,0.1
361,362,-45.0,0.1
362,363,-50.0,0.0
363,364,-45.0,0.1
364,365,-45.0,0.1
365,366,-50.0,0.0
366,367,-50.0,0.0
367,368,-45.0,0.1
368,369,-45.0,0.1
369,370,-45.0,0.1
370,371,-50.0,0.0
371,372,-50.0,0.0
372,373,-45.0,0.1
373,374,-50.0,0.0
374,375,-50.0,0.0
375,376,-50.0,0.0
376,377,-45.0,0.1
377,378,-45.0,0.1
378,379,-50.0,0.0
379,380,-50.0,0.0
380,381,-35.0,0.3
381,382,-50.0,0.0
382,383,-50.0,0.0
383,384,-50.0,0.0
384,385,-40.0,0.2
385,386,-50.0,0.0
386,387,-45.0,0.1
387,388,-50.0,0.0
388,389,-50.0,0.0
389,390,-45.0,0.1
390,391,-50.0,0.0
391,392,-50.0,0.0
392,393,-50.0,0.0
393,394,-40.0,0.2
394,395,-50.0,0.0
395,396,-50.0,0.0
396,397,-45.0,0.1
397,398,-50.0,0.0
398,399,-45.0,0.1
399,400,-50.0,0.0
