,Epoch,TestEpRew,TestSuccessRate
0,1,-50.0,0.0
1,2,-45.0,0.1
2,3,-50.0,0.0
3,4,-45.0,0.1
4,5,-50.0,0.0
5,6,-50.0,0.0
6,7,-45.0,0.1
7,8,-45.0,0.1
8,9,-50.0,0.0
9,10,-45.0,0.1
10,11,-45.0,0.1
11,12,-35.0,0.3
12,13,-50.0,0.0
13,14,-45.0,0.1
14,15,-50.0,0.0
15,16,-45.0,0.1
16,17,-45.0,0.1
17,18,-45.0,0.1
18,19,-50.0,0.0
19,20,-45.0,0.1
20,21,-50.0,0.0
21,22,-45.0,0.1
22,23,-40.0,0.2
23,24,-45.0,0.1
24,25,-50.0,0.0
25,26,-50.0,0.0
26,27,-50.0,0.0
27,28,-50.0,0.0
28,29,-50.0,0.0
29,30,-50.0,0.0
30,31,-40.0,0.2
31,32,-50.0,0.0
32,33,-45.0,0.1
33,34,-35.0,0.3
34,35,-45.0,0.1
35,36,-45.0,0.1
36,37,-40.0,0.2
37,38,-50.0,0.0
38,39,-45.0,0.1
39,40,-45.0,0.1
40,41,-45.0,0.1
41,42,-50.0,0.0
42,43,-50.0,0.0
43,44,-35.0,0.3
44,45,-44.7,0.1
45,46,-45.0,0.1
46,47,-45.0,0.1
47,48,-45.0,0.1
48,49,-45.0,0.1
49,50,-45.0,0.1
50,51,-45.0,0.1
51,52,-45.0,0.1
52,53,-40.0,0.2
53,54,-45.0,0.1
54,55,-50.0,0.0
55,56,-45.0,0.1
56,57,-50.0,0.0
57,58,-50.0,0.0
58,59,-40.0,0.2
59,60,-50.0,0.0
60,61,-40.0,0.2
61,62,-50.0,0.0
62,63,-50.0,0.0
63,64,-50.0,0.0
64,65,-45.0,0.1
65,66,-40.0,0.2
66,67,-50.0,0.0
67,68,-45.0,0.1
68,69,-40.0,0.2
69,70,-45.0,0.1
70,71,-40.0,0.2
71,72,-50.0,0.0
72,73,-45.0,0.1
73,74,-50.0,0.0
74,75,-50.0,0.0
75,76,-45.0,0.1
76,77,-50.0,0.0
77,78,-50.0,0.0
78,79,-40.0,0.2
79,80,-45.0,0.1
80,81,-45.0,0.1
81,82,-50.0,0.0
82,83,-40.0,0.2
83,84,-50.0,0.0
84,85,-45.0,0.1
85,86,-45.0,0.1
86,87,-50.0,0.0
87,88,-50.0,0.0
88,89,-45.0,0.1
89,90,-45.0,0.1
90,91,-50.0,0.0
91,92,-50.0,0.0
92,93,-45.0,0.1
93,94,-45.0,0.1
94,95,-45.0,0.1
95,96,-40.0,0.2
96,97,-35.0,0.3
97,98,-50.0,0.0
98,99,-50.0,0.0
99,100,-50.0,0.0
100,101,-50.0,0.0
101,102,-50.0,0.0
102,103,-50.0,0.0
103,104,-50.0,0.0
104,105,-50.0,0.0
105,106,-45.0,0.1
106,107,-50.0,0.0
107,108,-50.0,0.0
108,109,-45.0,0.1
109,110,-50.0,0.0
110,111,-35.0,0.3
111,112,-50.0,0.0
112,113,-50.0,0.0
113,114,-50.0,0.0
114,115,-50.0,0.0
115,116,-50.0,0.0
116,117,-50.0,0.0
117,118,-45.0,0.1
118,119,-45.0,0.1
119,120,-50.0,0.0
120,121,-50.0,0.0
121,122,-40.0,0.2
122,123,-35.0,0.3
123,124,-45.0,0.1
124,125,-45.0,0.1
125,126,-50.0,0.0
126,127,-50.0,0.0
127,128,-50.0,0.0
128,129,-50.0,0.0
129,130,-40.0,0.2
130,131,-50.0,0.0
131,132,-50.0,0.0
132,133,-40.0,0.2
133,134,-50.0,0.0
134,135,-45.0,0.1
135,136,-50.0,0.0
136,137,-45.0,0.1
137,138,-45.0,0.1
138,139,-50.0,0.0
139,140,-45.0,0.1
140,141,-50.0,0.0
141,142,-50.0,0.0
142,143,-50.0,0.0
143,144,-50.0,0.0
144,145,-45.0,0.1
145,146,-50.0,0.0
146,147,-45.0,0.1
147,148,-40.0,0.2
148,149,-45.0,0.1
149,150,-40.0,0.2
150,151,-50.0,0.0
