,Epoch,TestEpRew,TestSuccessRate
0,1,-50.0,0.0
1,2,-50.0,0.0
2,3,-50.0,0.0
3,4,-50.0,0.0
4,5,-49.6,0.0
5,6,-50.0,0.0
6,7,-50.0,0.0
7,8,-50.0,0.0
8,9,-50.0,0.0
9,10,-50.0,0.0
10,11,-50.0,0.0
11,12,-50.0,0.0
12,13,-48.3,0.0
13,14,-50.0,0.0
14,15,-50.0,0.0
15,16,-50.0,0.0
16,17,-50.0,0.0
17,18,-50.0,0.0
18,19,-50.0,0.0
19,20,-47.9,0.0
20,21,-49.6,0.0
21,22,-50.0,0.0
22,23,-50.0,0.0
23,24,-50.0,0.0
24,25,-50.0,0.0
25,26,-48.5,0.0
26,27,-49.8,0.0
27,28,-50.0,0.0
28,29,-50.0,0.0
29,30,-50.0,0.0
30,31,-46.9,0.0
31,32,-50.0,0.0
32,33,-49.5,0.0
33,34,-49.3,0.0
34,35,-49.9,0.0
35,36,-49.8,0.0
36,37,-50.0,0.0
37,38,-49.6,0.0
38,39,-50.0,0.0
39,40,-49.4,0.0
40,41,-50.0,0.0
41,42,-50.0,0.0
42,43,-50.0,0.0
43,44,-45.0,0.1
44,45,-43.0,0.1
45,46,-50.0,0.0
46,47,-49.9,0.0
47,48,-50.0,0.0
48,49,-50.0,0.0
49,50,-47.0,0.1
50,51,-50.0,0.0
51,52,-50.0,0.0
52,53,-48.1,0.1
53,54,-50.0,0.0
54,55,-50.0,0.0
55,56,-49.9,0.0
56,57,-50.0,0.0
57,58,-50.0,0.0
58,59,-50.0,0.0
59,60,-48.2,0.1
60,61,-50.0,0.0
61,62,-50.0,0.0
62,63,-41.1,0.3
63,64,-50.0,0.0
64,65,-50.0,0.0
65,66,-50.0,0.0
66,67,-50.0,0.0
67,68,-46.7,0.2
68,69,-50.0,0.0
69,70,-50.0,0.0
70,71,-50.0,0.0
71,72,-50.0,0.0
72,73,-50.0,0.0
73,74,-49.2,0.0
74,75,-50.0,0.0
75,76,-50.0,0.0
76,77,-46.9,0.1
77,78,-49.0,0.0
78,79,-50.0,0.0
79,80,-49.2,0.0
80,81,-50.0,0.0
81,82,-49.6,0.0
82,83,-50.0,0.0
83,84,-50.0,0.0
84,85,-49.5,0.0
85,86,-49.6,0.0
86,87,-49.3,0.0
87,88,-50.0,0.0
88,89,-50.0,0.0
89,90,-44.4,0.2
90,91,-50.0,0.0
91,92,-50.0,0.0
92,93,-50.0,0.0
93,94,-47.6,0.0
94,95,-50.0,0.0
95,96,-47.5,0.1
96,97,-49.5,0.1
97,98,-50.0,0.0
98,99,-50.0,0.0
99,100,-49.1,0.1
100,101,-50.0,0.0
101,102,-50.0,0.0
102,103,-50.0,0.0
103,104,-50.0,0.0
104,105,-50.0,0.0
105,106,-50.0,0.0
106,107,-49.4,0.0
107,108,-48.6,0.1
108,109,-49.3,0.0
109,110,-42.5,0.2
110,111,-48.6,0.0
111,112,-49.1,0.1
112,113,-47.4,0.1
113,114,-48.3,0.1
114,115,-50.0,0.0
115,116,-50.0,0.0
116,117,-50.0,0.0
117,118,-49.1,0.0
118,119,-50.0,0.0
119,120,-50.0,0.0
120,121,-50.0,0.0
121,122,-49.1,0.0
122,123,-49.6,0.0
123,124,-50.0,0.0
124,125,-50.0,0.0
125,126,-50.0,0.0
126,127,-50.0,0.0
127,128,-47.1,0.1
128,129,-50.0,0.0
129,130,-49.3,0.0
130,131,-50.0,0.0
131,132,-50.0,0.0
132,133,-50.0,0.0
133,134,-50.0,0.0
134,135,-50.0,0.0
135,136,-50.0,0.0
136,137,-50.0,0.0
137,138,-50.0,0.0
138,139,-50.0,0.0
139,140,-50.0,0.0
140,141,-50.0,0.0
141,142,-50.0,0.0
142,143,-50.0,0.0
143,144,-50.0,0.0
144,145,-50.0,0.0
145,146,-50.0,0.0
146,147,-50.0,0.0
147,148,-50.0,0.0
148,149,-50.0,0.0
149,150,-50.0,0.0
150,151,-50.0,0.0
151,152,-50.0,0.0
152,153,-50.0,0.0
153,154,-50.0,0.0
154,155,-50.0,0.0
155,156,-50.0,0.0
156,157,-50.0,0.0
157,158,-50.0,0.0
158,159,-50.0,0.0
159,160,-50.0,0.0
160,161,-50.0,0.0
161,162,-48.2,0.0
162,163,-50.0,0.0
163,164,-50.0,0.0
164,165,-50.0,0.0
165,166,-50.0,0.0
166,167,-50.0,0.0
167,168,-50.0,0.0
168,169,-50.0,0.0
169,170,-50.0,0.0
170,171,-50.0,0.0
171,172,-50.0,0.0
172,173,-50.0,0.0
173,174,-50.0,0.0
174,175,-50.0,0.0
175,176,-50.0,0.0
176,177,-50.0,0.0
177,178,-50.0,0.0
178,179,-50.0,0.0
179,180,-50.0,0.0
180,181,-50.0,0.0
181,182,-50.0,0.0
182,183,-50.0,0.0
183,184,-50.0,0.0
184,185,-50.0,0.0
185,186,-50.0,0.0
186,187,-50.0,0.0
187,188,-50.0,0.0
188,189,-50.0,0.0
189,190,-50.0,0.0
190,191,-50.0,0.0
191,192,-50.0,0.0
192,193,-50.0,0.0
193,194,-50.0,0.0
194,195,-50.0,0.0
195,196,-50.0,0.0
196,197,-50.0,0.0
197,198,-50.0,0.0
198,199,-50.0,0.0
199,200,-50.0,0.0
200,201,-50.0,0.0
201,202,-50.0,0.0
202,203,-50.0,0.0
203,204,-50.0,0.0
204,205,-50.0,0.0
205,206,-50.0,0.0
206,207,-50.0,0.0
207,208,-50.0,0.0
208,209,-50.0,0.0
209,210,-50.0,0.0
210,211,-50.0,0.0
211,212,-50.0,0.0
212,213,-50.0,0.0
213,214,-50.0,0.0
214,215,-50.0,0.0
215,216,-50.0,0.0
216,217,-50.0,0.0
217,218,-50.0,0.0
218,219,-50.0,0.0
219,220,-50.0,0.0
220,221,-45.0,0.1
221,222,-50.0,0.0
222,223,-50.0,0.0
223,224,-50.0,0.0
224,225,-50.0,0.0
225,226,-50.0,0.0
226,227,-45.0,0.1
227,228,-50.0,0.0
228,229,-50.0,0.0
229,230,-50.0,0.0
230,231,-50.0,0.0
231,232,-50.0,0.0
232,233,-50.0,0.0
233,234,-50.0,0.0
234,235,-50.0,0.0
235,236,-50.0,0.0
236,237,-50.0,0.0
237,238,-50.0,0.0
238,239,-50.0,0.0
239,240,-50.0,0.0
240,241,-50.0,0.0
241,242,-50.0,0.0
242,243,-50.0,0.0
243,244,-50.0,0.0
244,245,-50.0,0.0
