Wall time,Step,Value
1652890129.7033472,1000,-47.5
1652890184.6081755,3000,-47.5
1652890190.1422365,3200,-46.875
1652890207.1309483,3800,-47.3684196472168
1652890213.945877,4000,-47.5
1652890220.4647746,4200,-47.02381134033203
1652890231.4398537,4600,-47.28260803222656
1652890251.9478738,5400,-47.5
1652890257.2217464,5600,-47.5
1652890325.5302567,8200,-49.5
1652890362.7948813,9600,-49.0
1652890368.3125026,9800,-49.0
1652890373.3564808,10000,-49.0
1652890400.5205004,11000,-49.0
1652890431.4618359,12200,-49.0
1652890441.7586732,12600,-49.0
1652890446.8728888,12800,-49.0
1652890463.0100152,13400,-49.0
1652890469.693024,13600,-49.0
1652890485.4310799,14200,-48.5
1652890490.8031833,14400,-49.0
1652890522.3794665,15600,-49.0
1652890547.9944916,16600,-47.5
1652890584.6426954,18000,-47.5
1652890637.8820975,20000,-47.0
1652890658.9668443,20800,-48.0
1652890674.3295143,21400,-48.5
1652890679.3313167,21600,-48.5
1652890726.307056,23400,-47.5
1652890753.069985,24400,-48.5
1652890773.7906692,25200,-48.0
1652890779.1857767,25400,-48.0
1652890790.155107,25800,-47.0
1652890800.8267398,26200,-47.0
1652890831.457215,27400,-47.5
1652890836.653835,27600,-47.5
1652890873.1703806,29000,-47.5
1652890883.5378711,29400,-47.5
1652890888.7389958,29600,-47.5
1652890904.6196291,30200,-47.5
1652890942.0054228,31600,-48.0
1652890957.6132286,32200,-48.5
1652890967.96289,32600,-48.5
1652890978.2281265,33000,-48.5
1652891009.244326,34200,-48.5
1652891014.4891064,34400,-48.5
1652891019.6964593,34600,-48.5
1652891046.4003024,35600,-49.0
1652891084.2467215,37000,-48.5
1652891089.7588382,37200,-48.5
1652891095.237818,37400,-48.5
1652891116.610421,38200,-48.5
1652891121.8124044,38400,-48.5
1652891127.1765213,38600,-48.5
1652891165.0485098,40000,-49.0
1652891181.407646,40600,-49.5
1652891186.674693,40800,-49.0
1652891192.1915116,41000,-49.5
1652891197.8376045,41200,-49.5
1652891208.5805807,41600,-49.5
1652891230.417053,42400,-49.5
1652891241.4190903,42800,-49.5
1652891254.383531,43200,-49.0
1652891283.9970453,44200,-48.5
1652891289.6327097,44400,-48.5
1652891306.2020519,45000,-48.0
1652891334.2393773,46000,-48.5
1652891390.6341777,48000,-49.0
1652891419.7536955,49000,-49.0
1652891425.5379627,49200,-49.5
1652891431.2475328,49400,-49.0
1652891501.8408458,51800,-48.5
1652891507.7453332,52000,-48.5
1652891513.5027838,52200,-48.5
1652891578.8029358,54400,-48.5
1652891597.204671,55000,-48.5
1652891609.026874,55400,-49.0
1652891621.1033337,55800,-49.0
1652891644.924017,56600,-48.5
1652891663.094168,57200,-48.5
1652891681.4032083,57800,-48.5
1652891693.6973324,58200,-48.5
1652891724.6537578,59200,-48.5
1652891737.3129637,59600,-48.0
1652891743.725533,59800,-48.0
1652891794.4238195,61400,-48.0
1652891807.1659057,61800,-48.0
1652891833.747522,62600,-48.5
1652891860.4745347,63400,-48.5
1652891874.0351956,63800,-48.0
1652891880.7171764,64000,-48.0
1652891901.2703245,64600,-49.0
1652892007.6076732,67600,-47.5
1652892015.0443342,67800,-47.0
1652892051.8106914,68800,-46.5
1652892066.6233149,69200,-46.5
1652892074.0424447,69400,-46.5
1652892119.4276357,70600,-46.5
1652892134.8120391,71000,-47.0
1652892165.3580163,71800,-47.5
1652892196.4034033,72600,-48.0
1652892204.1290874,72800,-48.5
1652892211.8397048,73000,-49.0
1652892219.518688,73200,-49.0
1652892227.4420345,73400,-49.0
1652892235.3887212,73600,-48.5
1652892322.2134738,75800,-49.0
1652892385.1823936,77400,-48.0
1652892417.575731,78200,-47.5
1652892433.7989397,78600,-48.0
1652892473.981875,79600,-47.0
1652892514.3394322,80600,-47.5
1652892530.4857512,81000,-47.5
1652892571.8153574,82000,-48.0
1652892615.5012465,83000,-48.0
1652892623.7870696,83200,-48.0
1652892674.6704106,84400,-48.5
1652892683.0041142,84600,-48.5
1652892716.3052757,85400,-48.0
1652892800.0104306,87400,-47.5
1652892808.3686206,87600,-47.5
1652892825.024034,88000,-48.0
1652892858.99581,88800,-48.0
1652892867.5059469,89000,-48.0
1652892884.6975646,89400,-48.0
1652892918.9470806,90200,-48.0
1652892935.8839414,90600,-48.5
1652892970.1030192,91400,-48.0
1652893013.4815874,92400,-48.0
1652893047.5917115,93200,-48.0
1652893056.0803385,93400,-48.0
1652893073.4814787,93800,-48.0
1652893090.5799205,94200,-48.0
1652893124.9645884,95000,-47.0
1652893133.5065787,95200,-47.5
1652893177.1320992,96200,-48.0
1652893185.6800046,96400,-48.0
1652893238.0491269,97600,-47.5
1652893255.4785037,98000,-47.5
1652893299.0526278,99000,-48.0
1652893334.1179373,99800,-49.0
1652893430.58229,102000,-49.5
1652893439.4484105,102200,-49.0
1652893448.262997,102400,-48.5
1652893457.0434256,102600,-48.5
1652893465.8356822,102800,-48.5
1652893474.6441936,103000,-48.5
1652893501.385127,103600,-48.5
1652893510.34305,103800,-48.5
1652893521.00934,104000,-48.5
1652893651.718187,106800,-49.0
1652893660.8476017,107000,-49.0
1652893678.891117,107400,-50.0
1652893687.8725762,107600,-50.0
1652893696.8960686,107800,-50.0
1652893714.8674242,108200,-50.0
1652893732.857656,108600,-49.0
1652893750.8677468,109000,-48.5
1652893769.18458,109400,-48.5
1652893805.9490306,110200,-48.5
1652893824.1197486,110600,-48.0
1652893860.8533797,111400,-48.0
1652893916.2057104,112600,-48.0
1652893935.3157725,113000,-48.0
1652893972.5293937,113800,-49.0
1652894000.1748018,114400,-48.5
1652894018.504562,114800,-48.5
1652894119.921734,117000,-48.5
1652894129.254566,117200,-48.0
1652894156.8480308,117800,-48.0
1652894175.2383192,118200,-48.0
1652894184.396245,118400,-48.5
1652894212.338343,119000,-49.0
1652894230.9696615,119400,-49.0
1652894296.0044532,120800,-48.0
1652894342.4550164,121800,-48.5
1652894388.7467842,122800,-49.0
1652894397.9423845,123000,-49.0
1652894416.401218,123400,-49.0
1652894471.7581105,124600,-49.0
1652894481.0244327,124800,-49.0
1652894508.8747973,125400,-49.5
1652894527.5661273,125800,-49.5
1652894536.7971473,126000,-49.5
1652894573.8390799,126800,-49.5
1652894611.2153602,127600,-49.5
1652894667.415001,128800,-48.5
1652894676.925914,129000,-48.5
1652894723.9228778,130000,-48.5
1652894742.287017,130400,-48.5
1652894779.7150435,131200,-49.0
1652894808.008874,131800,-48.5
1652894826.9157581,132200,-48.5
1652894892.358673,133600,-49.0
1652894920.2044966,134200,-49.0
1652894967.1534886,135200,-48.5
1652894976.3798468,135400,-48.5
1652895013.5940735,136200,-48.0
1652895050.806806,137000,-48.5
1652895125.8396358,138600,-48.0
1652895144.9199305,139000,-48.0
1652895163.4831598,139400,-48.0
1652895172.8407357,139600,-48.5
1652895219.7426848,140600,-48.5
1652895295.0130708,142200,-49.0
1652895343.1289272,143200,-49.5
1652895361.7349114,143600,-48.0
1652895390.0380113,144200,-48.0
1652895399.469904,144400,-47.5
1652895418.519804,144800,-47.5
1652895437.4409842,145200,-47.5
1652895446.8836846,145400,-47.0
1652895465.798252,145800,-47.0
1652895475.125523,146000,-46.5
1652895493.749643,146400,-46.5
1652895503.2026925,146600,-46.5
1652895512.665205,146800,-46.5
1652895559.6133642,147800,-46.0
1652895615.7639103,149000,-47.5
1652895728.358811,151400,-47.5
1652895803.868409,153000,-47.5
1652895813.2048876,153200,-47.5
1652895879.266914,154600,-48.5
1652895907.4249318,155200,-48.5
1652895917.0489595,155400,-48.5
1652895935.828831,155800,-48.5
1652895954.500501,156200,-48.5
1652895973.0983574,156600,-48.5
1652896029.555833,157800,-48.5
1652896180.793933,161000,-46.5
1652896190.2005591,161200,-45.5
1652896200.085452,161400,-45.5
1652896209.3825889,161600,-45.5
1652896237.3387966,162200,-46.5
1652896312.4980104,163800,-48.5
1652896321.794166,164000,-48.5
1652896406.9530094,165800,-48.0
1652896444.946701,166600,-49.0
1652896454.7215495,166800,-49.0
1652896473.751063,167200,-49.0
1652896483.1068888,167400,-49.0
1652896511.3738592,168000,-49.0
1652896520.7785916,168200,-49.0
1652896548.906129,168800,-48.5
1652896567.7305713,169200,-48.5
1652896624.7044296,170400,-49.0
1652896681.4627197,171600,-49.5
1652896709.546072,172200,-49.5
1652896728.243964,172600,-49.5
1652896766.2150333,173400,-50.0
1652896804.4779024,174200,-50.0
1652896813.9624934,174400,-50.0
1652896937.565686,177000,-48.5
1652896956.64246,177400,-48.5
1652897013.7799678,178600,-47.0
1652897042.1770113,179200,-47.0
1652897061.2499669,179600,-46.5
1652897099.5764573,180400,-46.5
1652897108.999107,180600,-46.5
1652897165.6267295,181800,-46.0
1652897184.4910848,182200,-46.5
1652897193.943671,182400,-46.5
1652897260.5479133,183800,-48.0
1652897289.0999696,184400,-48.5
1652897355.4454823,185800,-48.5
1652897374.5345557,186200,-49.0
1652897384.009907,186400,-49.0
1652897393.7847433,186600,-49.5
1652897488.5312564,188600,-48.5
1652897555.3179226,190000,-47.5
1652897583.8928132,190600,-47.0
1652897612.390745,191200,-47.0
