Wall time,Step,Value
1652861761.5185657,1000,-50.0
1652861801.7611883,3000,-49.900001525878906
1652861805.2011652,3200,-49.90625
1652861815.8137274,3800,-49.921051025390625
1652861819.3785675,4000,-49.92499923706055
1652861823.0454385,4200,-49.92856979370117
1652861830.3832722,4600,-49.934783935546875
1652861844.7496989,5400,-49.939998626708984
1652861848.2277234,5600,-49.939998626708984
1652861894.4101214,8200,-50.0
1652861918.8248973,9600,-49.5
1652861922.6121073,9800,-49.5
1652861926.0757008,10000,-49.5
1652861943.6512113,11000,-49.0
1652861964.5894182,12200,-49.0
1652861971.7486973,12600,-49.0
1652861975.1926064,12800,-49.0
1652861985.7071757,13400,-49.0
1652861989.1442258,13600,-49.0
1652861999.6459348,14200,-48.5
1652862003.0860283,14400,-48.5
1652862024.2110956,15600,-48.0
1652862042.0961556,16600,-48.0
1652862066.6504288,18000,-46.5
1652862102.3327014,20000,-46.0
1652862116.5875382,20800,-45.5
1652862127.127168,21400,-45.5
1652862130.6970325,21600,-45.0
1652862161.9234717,23400,-46.97999954223633
1652862179.192654,24400,-46.47999954223633
1652862193.2048552,25200,-45.47999954223633
1652862196.9024558,25400,-45.47999954223633
1652862203.8540401,25800,-45.47999954223633
1652862210.8081346,26200,-45.97999954223633
1652862232.2665615,27400,-45.459999084472656
1652862235.7549438,27600,-45.459999084472656
1652862260.4927754,29000,-46.47999954223633
1652862267.6576858,29400,-46.97999954223633
1652862271.1200008,29600,-46.47999954223633
1652862281.7172763,30200,-47.47999954223633
1652862306.3953426,31600,-46.97999954223633
1652862317.1479244,32200,-47.47999954223633
1652862324.2315907,32600,-46.5
1652862331.2203627,33000,-46.5
1652862352.289096,34200,-45.5
1652862355.9099872,34400,-45.5
1652862359.4891882,34600,-46.5
1652862377.4963236,35600,-47.5
1652862402.6980598,37000,-46.0
1652862406.3333511,37200,-46.0
1652862409.9011571,37400,-46.5
1652862424.6880894,38200,-46.5
1652862428.307928,38400,-46.5
1652862431.9749386,38600,-47.0
1652862457.7852755,40000,-46.5
1652862469.1415682,40600,-46.5
1652862472.776307,40800,-46.5
1652862476.4986596,41000,-47.0
1652862480.1826563,41200,-47.0
1652862487.663885,41600,-47.0
1652862502.5249307,42400,-46.5
1652862509.9904666,42800,-47.0
1652862517.5791533,43200,-46.0
1652862536.5478354,44200,-46.5
1652862540.4026916,44400,-46.5
1652862552.0186458,45000,-47.0
1652862571.8036134,46000,-47.5
1652862611.717114,48000,-47.5
1652862631.8486528,49000,-47.5
1652862635.9534214,49200,-47.5
1652862639.9998097,49400,-47.0
1652862688.8539178,51800,-47.0
1652862692.945565,52000,-47.0
1652862697.0320387,52200,-47.0
1652862743.061788,54400,-48.5
1652862755.7228322,55000,-47.5
1652862764.2806253,55400,-47.5
1652862772.9136355,55800,-47.5
1652862790.23503,56600,-46.5
1652862803.3526523,57200,-46.5
1652862816.4562943,57800,-46.0
1652862825.276837,58200,-45.5
1652862847.563947,59200,-45.5
1652862856.6609654,59600,-45.0
1652862861.1635277,59800,-46.0
1652862898.3495355,61400,-47.0
1652862907.8561819,61800,-47.0
1652862926.834198,62600,-44.0
1652862946.2116666,63400,-44.5
1652862956.0187395,63800,-44.0
1652862960.9614127,64000,-44.0
1652862975.9760003,64600,-44.5
1652863055.140924,67600,-46.0
1652863060.536029,67800,-46.0
1652863088.139119,68800,-44.9900016784668
1652863099.316209,69200,-44.9900016784668
1652863104.9178913,69400,-44.4900016784668
1652863138.759869,70600,-43.4900016784668
1652863150.316553,71000,-43.9900016784668
1652863173.6392913,71800,-41.9900016784668
1652863197.1141036,72600,-42.9900016784668
1652863202.966368,72800,-42.9900016784668
1652863208.8152127,73000,-43.0
1652863214.7597392,73200,-43.0
1652863220.597636,73400,-43.5
1652863226.4808998,73600,-43.5
1652863292.5673592,75800,-46.0
1652863341.9931953,77400,-48.5
1652863366.8423052,78200,-48.0
1652863379.489137,78600,-48.0
1652863410.7657793,79600,-47.0
1652863442.3141828,80600,-47.5
1652863454.9077144,81000,-47.0
1652863486.5834534,82000,-46.5
1652863518.8633728,83000,-45.5
1652863525.274286,83200,-45.5
1652863563.7459133,84400,-46.5
1652863570.290468,84600,-46.5
1652863596.2478142,85400,-45.5
1652863661.6271312,87400,-45.5
1652863668.1019127,87600,-46.0
1652863681.206172,88000,-46.0
1652863707.5236926,88800,-45.5
1652863714.0877821,89000,-45.5
1652863727.373082,89400,-45.5
1652863754.2149963,90200,-46.5
1652863767.453295,90600,-47.0
1652863794.1254184,91400,-47.5
1652863827.5554526,92400,-48.0
1652863854.265212,93200,-48.0
1652863860.8939102,93400,-48.5
1652863874.1810634,93800,-48.5
1652863887.5605786,94200,-49.0
1652863914.2857683,95000,-48.5
1652863921.0187354,95200,-48.5
1652863954.6169598,96200,-48.5
1652863961.4024599,96400,-48.0
1652864001.8480313,97600,-47.5
1652864015.25006,98000,-47.0
1652864049.1044145,99000,-47.5
1652864076.1092415,99800,-47.0
1652864150.3087275,102000,-46.97999954223633
1652864157.0258758,102200,-46.97999954223633
1652864163.7751768,102400,-47.47999954223633
1652864170.7264094,102600,-46.97999954223633
1652864177.44597,102800,-47.47999954223633
1652864184.2556312,103000,-47.47999954223633
1652864204.5709991,103600,-45.97999954223633
1652864211.4203653,103800,-45.47999954223633
1652864218.2244165,104000,-45.47999954223633
1652864313.7660275,106800,-46.0
1652864320.619737,107000,-46.5
1652864334.570164,107400,-46.0
1652864341.4111428,107600,-46.5
1652864348.2642963,107800,-46.5
1652864361.9955037,108200,-46.5
1652864375.6893098,108600,-47.5
1652864389.45803,109000,-48.0
1652864403.276729,109400,-47.0
1652864430.8530338,110200,-47.0
1652864444.5209968,110600,-47.0
1652864472.1757066,111400,-45.5
1652864513.623772,112600,-45.0
1652864527.3749378,113000,-44.5
1652864555.0695817,113800,-45.0
1652864575.7791545,114400,-45.0
1652864589.7224643,114800,-45.0
1652864666.215523,117000,-46.5
1652864673.2039435,117200,-46.5
1652864693.979295,117800,-46.5
1652864707.9684463,118200,-47.0
1652864715.0966787,118400,-47.0
1652864736.1060627,119000,-46.5
1652864750.0057359,119400,-47.5
1652864799.1727939,120800,-47.0
1652864834.4450245,121800,-47.0
1652864869.7509487,122800,-47.5
1652864876.757397,123000,-47.0
1652864890.8321753,123400,-46.0
1652864934.0441,124600,-47.0
1652864941.1172388,124800,-46.5
1652864962.4867876,125400,-46.5
1652864976.668649,125800,-46.0
1652864983.7837439,126000,-45.5
1652865012.418188,126800,-46.5
1652865040.8433719,127600,-45.5
1652865083.815564,128800,-46.5
1652865091.0137591,129000,-46.5
1652865126.8033948,130000,-46.5
1652865141.1975675,130400,-46.0
1652865169.7585306,131200,-47.5
1652865191.4337978,131800,-46.5
1652865205.874603,132200,-47.0
1652865256.5064516,133600,-45.5
1652865278.222045,134200,-45.0
1652865314.245883,135200,-45.0
1652865321.388346,135400,-45.5
1652865350.0152774,136200,-45.5
1652865378.726455,137000,-45.5
1652865436.3902233,138600,-46.5
1652865450.8390937,139000,-46.5
1652865465.1736355,139400,-47.0
1652865472.3367083,139600,-46.5
1652865508.4861274,140600,-45.0
1652865566.2553377,142200,-44.5
1652865602.624944,143200,-45.5
1652865617.4018898,143600,-45.5
1652865639.2139628,144200,-45.5
1652865646.3910797,144400,-45.5
1652865661.2130349,144800,-45.5
1652865675.6792653,145200,-46.0
1652865682.864832,145400,-47.0
1652865697.2739222,145800,-48.0
1652865704.4452264,146000,-47.5
1652865719.0673835,146400,-47.0
1652865726.319997,146600,-47.0
1652865733.5628393,146800,-47.0
1652865769.6828804,147800,-47.0
1652865813.1493833,149000,-47.0
1652865900.1897278,151400,-45.0
1652865958.023628,153000,-45.5
1652865965.3217313,153200,-45.5
1652866016.0258756,154600,-46.5
1652866037.8434215,155200,-47.0
1652866045.0533173,155400,-47.5
1652866059.5031364,155800,-47.5
1652866074.1048207,156200,-48.0
1652866088.6842635,156600,-48.5
1652866132.3956785,157800,-47.5
1652866248.6887362,161000,-46.5
1652866255.9939845,161200,-46.5
1652866263.413971,161400,-46.5
1652866270.7627873,161600,-46.5
1652866292.679802,162200,-46.0
1652866351.1153784,163800,-47.5
1652866358.3725755,164000,-46.5
1652866424.3067467,165800,-46.0
1652866453.7226307,166600,-45.0
1652866461.076319,166800,-46.0
1652866475.8401217,167200,-45.5
1652866483.4871984,167400,-45.0
1652866505.316872,168000,-44.0
1652866512.5797296,168200,-43.0
1652866534.6464322,168800,-42.0
1652866549.3884168,169200,-43.0
1652866593.3465862,170400,-44.5
1652866637.3560846,171600,-44.5
1652866659.6401083,172200,-44.5
1652866674.303464,172600,-44.5
1652866703.5524838,173400,-47.0
1652866732.859305,174200,-47.5
1652866740.1618764,174400,-47.5
1652866836.0505211,177000,-47.0
1652866850.734586,177400,-47.5
1652866895.0815032,178600,-46.5
1652866917.2186694,179200,-46.5
1652866931.9003806,179600,-46.0
1652866961.301712,180400,-45.5
1652866968.6219845,180600,-45.5
1652867013.4391012,181800,-46.0
1652867028.2674284,182200,-46.0
1652867035.656279,182400,-46.0
1652867087.5197349,183800,-46.0
1652867109.7518754,184400,-46.5
1652867161.4485254,185800,-47.0
1652867176.3638463,186200,-47.0
1652867183.8265069,186400,-46.5
1652867191.2284718,186600,-46.5
1652867265.7187426,188600,-47.5
1652867318.2293622,190000,-46.5
1652867340.499855,190600,-47.0
1652867362.6679955,191200,-47.0
1652867422.5893335,192800,-48.0
1652867459.8975682,193800,-48.0
1652867534.1507723,195800,-48.0
1652867541.5268574,196000,-48.0
1652867563.75552,196600,-47.5
1652867593.7497106,197400,-47.5
1652867623.5513954,198200,-46.5
1652867638.3896549,198600,-47.0
1652867653.2926817,199000,-47.0
1652867668.248806,199400,-47.5
1652867690.6190457,200000,-47.0
1652867712.977782,200600,-47.5
1652867720.3666165,200800,-47.5
1652867727.8359206,201000,-47.5
1652867742.8745713,201400,-48.0
1652867795.082887,202800,-47.5
1652867810.0142171,203200,-48.0
1652867862.647123,204600,-47.0
1652867892.6676006,205400,-47.0
1652867907.5087395,205800,-45.5
1652867959.8399117,207200,-46.5
1652867967.3190475,207400,-47.0
1652867974.7337146,207600,-47.0
1652868019.4678783,208800,-46.5
1652868041.7874303,209400,-46.0
1652868116.5150487,211400,-47.5
1652868131.4737804,211800,-47.5
1652868146.5262663,212200,-47.5
1652868161.5492454,212600,-47.0
1652868221.5254302,214200,-47.5
1652868228.954346,214400,-47.5
1652868236.398328,214600,-48.0
1652868243.9163117,214800,-48.5
1652868273.6880333,215600,-47.4900016784668
1652868296.0797904,216200,-46.9900016784668
1652868341.053044,217400,-45.4900016784668
1652868348.4869697,217600,-45.4900016784668
1652868430.9722254,219800,-43.9900016784668
1652868460.900633,220600,-44.0
1652868475.7706442,221000,-44.0
1652868498.1164236,221600,-44.0
1652868513.0572665,222000,-45.0
1652868527.8815732,222400,-45.5
1652868550.13863,223000,-44.959999084472656
1652868603.0150366,224400,-45.959999084472656
1652868610.3960695,224600,-45.959999084472656
1652868632.5814362,225200,-46.959999084472656
1652868639.9845943,225400,-46.459999084472656
1652868654.8485725,225800,-46.959999084472656
1652868662.3620005,226000,-46.959999084472656
1652868684.6480634,226600,-46.459999084472656
1652868699.717173,227000,-46.459999084472656
1652868736.9135158,228000,-45.5
1652868788.6899102,229400,-45.0
1652868825.8987882,230400,-46.0
1652868833.2722495,230600,-46.0
1652868907.9091377,232600,-45.959999084472656
1652868922.8064992,233000,-46.459999084472656
1652868945.1875842,233600,-47.459999084472656
1652868997.9039333,235000,-45.459999084472656
1652869012.9048195,235400,-45.459999084472656
1652869020.3595765,235600,-45.459999084472656
1652869027.899733,235800,-45.959999084472656
1652869057.77421,236600,-46.0
1652869072.5793433,237000,-45.5
1652869109.8531063,238000,-46.0
1652869139.6097858,238800,-46.5
1652869147.0976717,239000,-47.5
1652869169.4555607,239600,-47.5
1652869229.363038,241200,-46.5
1652869236.8294244,241400,-46.5
1652869244.3450022,241600,-46.5
1652869296.5390694,243000,-46.5
1652869326.5349667,243800,-45.5
1652869363.6435006,244800,-45.0
1652869378.5969076,245200,-45.0
1652869408.3513403,246000,-45.0
1652869520.425368,249000,-46.0
1652869535.3646755,249400,-46.5
1652869557.8162992,250000,-46.5
1652869565.3620756,250200,-46.5
1652869572.8838422,250400,-46.5
1652869580.4592774,250600,-46.5
1652869595.5767515,251000,-46.5
1652869617.8999355,251600,-46.0
1652869640.1857827,252200,-46.0
1652869647.6775486,252400,-46.5
1652869692.434717,253600,-47.0
1652869722.1885676,254400,-45.5
1652869759.8555155,255400,-45.5
1652869774.6936862,255800,-45.0
1652869804.4584866,256600,-46.0
1652869826.7494822,257200,-45.5
1652869864.3517504,258200,-46.5
1652869886.872645,258800,-47.0
1652869924.185552,259800,-48.0
1652869931.676897,260000,-48.5
1652869954.049588,260600,-47.5
