Wall time,Step,Value
1652693263.7574108,200,-49.25
1652693266.9893048,400,-49.625
1652693270.2569714,600,-49.75
1652693273.449086,800,-48.5625
1652693276.7399466,1000,-48.849998474121094
1652693280.376234,1200,-49.04166793823242
1652693284.1668818,1400,-49.17856979370117
1652693287.8459053,1600,-49.28125
1652693291.285612,1800,-49.36111068725586
1652693294.8020966,2000,-48.42499923706055
1652693298.5844054,2200,-48.568180084228516
1652693302.0741744,2400,-48.16666793823242
1652693305.465075,2600,-48.25
1652693308.9493527,2800,-47.57143020629883
1652693312.4689133,3000,-46.650001525878906
1652693315.8524098,3200,-46.65625
1652693319.437257,3400,-45.588233947753906
1652693322.8853712,3600,-45.65277862548828
1652693326.5755377,3800,-45.578948974609375
1652693330.3005779,4000,-45.73749923706055
1652693335.1070528,4200,-45.44047546386719
1652693338.824602,4400,-44.96590805053711
1652693342.889808,4600,-44.239131927490234
1652693346.899475,4800,-42.78125
1652693350.9809206,5000,-42.560001373291016
1652693354.980725,5200,-42.099998474121094
1652693358.8439105,5400,-41.11000061035156
1652693363.307441,5600,-40.66999816894531
1652693367.8392537,5800,-40.810001373291016
1652693372.1141868,6000,-40.130001068115234
1652693376.0255141,6200,-38.790000915527344
1652693379.9118028,6400,-37.470001220703125
1652693383.6504152,6600,-37.38999938964844
1652693387.904342,6800,-36.47999954223633
1652693391.9808624,7000,-36.84000015258789
1652693396.056119,7200,-36.84000015258789
1652693399.6662743,7400,-36.619998931884766
1652693403.0484073,7600,-36.529998779296875
1652693406.354832,7800,-36.939998626708984
1652693409.7254746,8000,-37.310001373291016
1652693413.8506515,8200,-37.439998626708984
1652693417.7121515,8400,-37.72999954223633
1652693421.6595335,8600,-37.779998779296875
1652693425.3191314,8800,-36.470001220703125
1652693429.4893315,9000,-35.52000045776367
1652693433.1691883,9200,-35.31999969482422
1652693437.2679899,9400,-34.9900016784668
1652693441.0347574,9600,-34.2599983215332
1652693444.9332173,9800,-34.31999969482422
1652693448.3749158,10000,-34.290000915527344
1652693453.0356183,10200,-33.61000061035156
1652693456.762254,10400,-34.02000045776367
1652693460.2176986,10600,-32.959999084472656
1652693463.9590278,10800,-31.6200008392334
1652693468.2457123,11000,-30.790000915527344
1652693471.8137612,11200,-30.420000076293945
1652693475.4279017,11400,-30.790000915527344
1652693479.1942384,11600,-30.18000030517578
1652693482.545544,11800,-29.170000076293945
1652693486.9619892,12000,-27.760000228881836
1652693490.9821026,12200,-26.139999389648438
1652693494.936075,12400,-25.170000076293945
1652693498.3676744,12600,-23.510000228881836
1652693501.7892606,12800,-21.719999313354492
1652693505.2662344,13000,-20.100000381469727
1652693508.5986748,13200,-19.110000610351562
1652693512.0204961,13400,-17.84000015258789
1652693515.543675,13600,-16.1200008392334
1652693519.058198,13800,-16.06999969482422
1652693522.431702,14000,-15.770000457763672
1652693525.8086343,14200,-14.579999923706055
1652693529.26207,14400,-14.039999961853027
1652693532.7418804,14600,-14.819999694824219
1652693536.347472,14800,-14.970000267028809
1652693539.7409682,15000,-14.289999961853027
1652693543.1466782,15200,-14.420000076293945
1652693546.535399,15400,-13.960000038146973
1652693549.8457751,15600,-14.949999809265137
1652693553.2457025,15800,-15.350000381469727
1652693556.5881057,16000,-15.09000015258789
1652693560.039574,16200,-15.449999809265137
1652693563.345285,16400,-14.930000305175781
1652693566.7338934,16600,-13.729999542236328
1652693570.0771735,16800,-13.720000267028809
1652693573.7354875,17000,-13.779999732971191
1652693577.0496087,17200,-13.529999732971191
1652693580.5118415,17400,-13.5
1652693583.9834108,17600,-14.220000267028809
1652693587.3840816,17800,-14.84000015258789
1652693590.7626264,18000,-15.390000343322754
1652693594.12541,18200,-14.899999618530273
1652693597.6811607,18400,-15.25
1652693601.0889287,18600,-15.119999885559082
1652693604.4773424,18800,-14.970000267028809
1652693608.0458553,19000,-14.350000381469727
1652693611.5983162,19200,-14.210000038146973
1652693615.016831,19400,-14.109999656677246
1652693618.4330356,19600,-13.890000343322754
1652693621.8205698,19800,-13.539999961853027
1652693625.2307825,20000,-12.949999809265137
1652693628.5068855,20200,-12.079999923706055
1652693631.836129,20400,-12.220000267028809
1652693635.1447017,20600,-11.779999732971191
1652693638.7023623,20800,-11.510000228881836
1652693642.112587,21000,-11.8100004196167
1652693645.6104357,21200,-11.779999732971191
1652693649.1170099,21400,-11.489999771118164
1652693652.6737936,21600,-11.9399995803833
1652693656.014507,21800,-12.390000343322754
1652693659.6256855,22000,-12.539999961853027
1652693663.1024215,22200,-12.470000267028809
1652693666.5630655,22400,-12.270000457763672
1652693670.0692637,22600,-11.84000015258789
1652693673.369407,22800,-12.239999771118164
1652693676.7042422,23000,-11.720000267028809
1652693680.136998,23200,-11.699999809265137
1652693683.5691361,23400,-11.949999809265137
1652693687.0112846,23600,-11.979999542236328
1652693690.4440293,23800,-11.989999771118164
1652693693.7986295,24000,-12.470000267028809
1652693697.1923044,24200,-12.930000305175781
1652693700.492597,24400,-12.890000343322754
1652693703.8432467,24600,-12.020000457763672
1652693707.218731,24800,-11.850000381469727
1652693710.6779804,25000,-12.079999923706055
1652693713.992684,25200,-12.510000228881836
1652693717.444709,25400,-12.180000305175781
1652693720.8289006,25600,-12.180000305175781
1652693724.246355,25800,-11.539999961853027
1652693727.5999014,26000,-11.109999656677246
1652693730.9706986,26200,-11.180000305175781
1652693734.3331187,26400,-11.140000343322754
1652693737.7134476,26600,-11.119999885559082
1652693741.070522,26800,-10.989999771118164
1652693744.8412635,27000,-10.779999732971191
1652693748.3807657,27200,-11.149999618530273
1652693751.9193068,27400,-11.470000267028809
1652693755.3571868,27600,-11.800000190734863
1652693758.935625,27800,-11.029999732971191
1652693762.5430112,28000,-11.109999656677246
1652693765.89392,28200,-10.800000190734863
1652693769.3639064,28400,-10.59000015258789
1652693772.7337441,28600,-10.65999984741211
1652693776.067099,28800,-10.90999984741211
1652693779.5083108,29000,-11.130000114440918
1652693783.1010482,29200,-10.729999542236328
1652693786.7332969,29400,-11.079999923706055
1652693791.2212899,29600,-11.199999809265137
1652693795.5052497,29800,-11.890000343322754
1652693800.025701,30000,-12.0
1652693804.58736,30200,-12.619999885559082
1652693808.5734751,30400,-11.970000267028809
1652693812.675419,30600,-11.470000267028809
1652693816.1225874,30800,-11.460000038146973
1652693820.2508469,31000,-11.460000038146973
1652693824.76112,31200,-10.8100004196167
1652693829.22858,31400,-11.710000038146973
1652693832.994379,31600,-11.510000228881836
1652693837.5623884,31800,-11.680000305175781
1652693841.8138442,32000,-11.529999732971191
1652693845.7804415,32200,-11.869999885559082
