Wall time,Step,Value
1652890058.743999,1000,-50.0
1652890096.3728647,3000,-50.0
1652890099.9420116,3200,-50.0
1652890117.3811173,3800,-50.0
1652890123.1447828,4000,-50.0
1652890129.4656537,4200,-50.0
1652890140.9261532,4600,-50.0
1652890162.9584413,5400,-50.0
1652890168.2587647,5600,-50.0
1652890240.8681817,8200,-49.68000030517578
1652890277.7443073,9600,-49.31999969482422
1652890283.0335464,9800,-49.290000915527344
1652890288.3851004,10000,-49.290000915527344
1652890315.9976988,11000,-49.290000915527344
1652890348.1951017,12200,-49.290000915527344
1652890359.5794308,12600,-49.290000915527344
1652890365.1797557,12800,-49.29999923706055
1652890381.0875745,13400,-49.630001068115234
1652890386.5073197,13600,-49.630001068115234
1652890402.3186939,14200,-49.630001068115234
1652890407.611496,14400,-49.630001068115234
1652890439.8343964,15600,-49.15999984741211
1652890468.5165267,16600,-49.15999984741211
1652890507.0262585,18000,-49.5
1652890560.217712,20000,-49.7599983215332
1652890582.212958,20800,-49.689998626708984
1652890598.2049718,21400,-49.59000015258789
1652890603.5199769,21600,-49.59000015258789
1652890652.0811074,23400,-49.54999923706055
1652890678.9010403,24400,-49.790000915527344
1652890700.6482368,25200,-49.790000915527344
1652890705.822703,25400,-49.689998626708984
1652890716.572468,25800,-49.7599983215332
1652890727.2044344,26200,-49.79999923706055
1652890760.1689947,27400,-49.79999923706055
1652890765.6709409,27600,-49.84000015258789
1652890804.0626278,29000,-49.79999923706055
1652890814.4415743,29400,-49.619998931884766
1652890819.8107738,29600,-49.619998931884766
1652890835.6573474,30200,-49.619998931884766
1652890873.3215196,31600,-49.779998779296875
1652890889.6730618,32200,-49.779998779296875
1652890900.5337727,32600,-49.779998779296875
1652890911.071329,33000,-49.77000045776367
1652890942.5595858,34200,-49.939998626708984
1652890947.7884874,34400,-49.939998626708984
1652890953.3822498,34600,-49.900001525878906
1652890980.495025,35600,-49.880001068115234
1652891018.0372984,37000,-49.880001068115234
1652891023.3548734,37200,-49.880001068115234
1652891029.0715594,37400,-49.880001068115234
1652891051.2756395,38200,-49.88999938964844
1652891056.561803,38400,-49.88999938964844
1652891061.6776295,38600,-49.439998626708984
1652891100.4612021,40000,-49.47999954223633
1652891117.2007804,40600,-49.5
1652891122.5237522,40800,-49.5
1652891128.3236587,41000,-49.5
1652891133.7531257,41200,-49.5
1652891145.0851312,41600,-49.5
1652891167.5588355,42400,-49.5
1652891179.1464913,42800,-49.5
1652891190.0467262,43200,-49.5
1652891217.9545848,44200,-49.939998626708984
1652891223.7171605,44400,-49.939998626708984
1652891240.5331082,45000,-49.939998626708984
1652891271.9762154,46000,-49.939998626708984
1652891329.7805617,48000,-49.7599983215332
1652891358.3141704,49000,-49.779998779296875
1652891364.1800232,49200,-49.779998779296875
1652891370.3559694,49400,-49.779998779296875
1652891440.4666104,51800,-49.779998779296875
1652891446.4645977,52000,-49.779998779296875
1652891452.1575818,52200,-49.84000015258789
1652891517.319784,54400,-49.84000015258789
1652891535.502784,55000,-49.86000061035156
1652891547.3640802,55400,-49.86000061035156
1652891559.424384,55800,-49.86000061035156
1652891583.5464487,56600,-49.95000076293945
1652891602.7454004,57200,-49.95000076293945
1652891621.0305662,57800,-49.95000076293945
1652891633.0402367,58200,-49.95000076293945
1652891663.5565004,59200,-49.5
1652891675.800782,59600,-49.5
1652891681.9371653,59800,-49.5
1652891731.6118186,61400,-49.5
1652891744.0804846,61800,-49.5
1652891769.2257292,62600,-49.13999938964844
1652891794.4914718,63400,-49.099998474121094
1652891807.2574575,63800,-49.099998474121094
1652891813.7822263,64000,-49.099998474121094
1652891833.0307817,64600,-49.599998474121094
1652891932.3137522,67600,-49.880001068115234
1652891938.9277136,67800,-49.880001068115234
